t_s,side,cam,frames,silent_s,temp_c,temp_max_c
5.0,right,0,182,0.0,42.17599868774414,42.17599868774414
5.0,right,1,182,0.0,45.1349983215332,45.1349983215332
5.0,right,2,181,0.0,48.060001373291016,48.060001373291016
5.0,right,3,181,0.0,49.0989990234375,49.0989990234375
5.0,right,4,181,0.0,48.20199966430664,48.20199966430664
5.0,right,5,181,0.0,48.15999984741211,48.15999984741211
5.0,right,6,181,0.0,47.09700012207031,47.09700012207031
5.0,right,7,181,0.0,45.224998474121094,45.224998474121094
10.1,right,0,385,0.0,52.23099899291992,52.23099899291992
10.1,right,1,385,0.0,55.0359992980957,55.0359992980957
10.1,right,2,385,0.0,57.013999938964844,57.013999938964844
10.1,right,3,385,0.0,57.21900177001953,57.21900177001953
10.1,right,4,385,0.0,57.09000015258789,57.09000015258789
10.1,right,5,385,0.0,57.08599853515625,57.08599853515625
10.1,right,6,385,0.0,57.167999267578125,57.167999267578125
10.1,right,7,385,0.0,55.25,55.25
15.2,right,0,589,0.0,60.04199981689453,60.04199981689453
15.2,right,1,589,0.0,63.255001068115234,63.255001068115234
15.2,right,2,589,0.0,65.14800262451172,65.14800262451172
15.2,right,3,589,0.0,65.08699798583984,65.08699798583984
15.2,right,4,589,0.0,64.10099792480469,64.10099792480469
15.2,right,5,589,0.0,64.12000274658203,64.12000274658203
15.2,right,6,588,0.0,64.25299835205078,64.25299835205078
15.2,right,7,588,0.0,62.20800018310547,62.20800018310547
20.2,right,0,790,0.0,65.21499633789062,65.21499633789062
20.2,right,1,790,0.0,70.03199768066406,70.03199768066406
20.2,right,2,790,0.0,71.13700103759766,71.13700103759766
20.2,right,3,790,0.0,70.16200256347656,70.16200256347656
20.2,right,4,790,0.0,70.21399688720703,70.21399688720703
20.2,right,5,790,0.0,71.09700012207031,71.09700012207031
20.2,right,6,790,0.0,71.02799987792969,71.02799987792969
20.2,right,7,790,0.0,68.12999725341797,68.12999725341797
25.3,right,0,993,0.0,71.1510009765625,71.1510009765625
25.3,right,1,993,0.0,75.12799835205078,75.12799835205078
25.3,right,2,993,0.0,76.03500366210938,76.03500366210938
25.3,right,3,993,0.0,74.16400146484375,74.16400146484375
25.3,right,4,992,0.0,75.0199966430664,75.0199966430664
25.3,right,5,992,0.0,76.02799987792969,76.02799987792969
25.3,right,6,992,0.0,76.12200164794922,76.12200164794922
25.3,right,7,992,0.0,73.19100189208984,73.19100189208984
30.3,right,0,1195,0.0,75.07599639892578,75.07599639892578
30.3,right,1,1195,0.0,80.24299621582031,80.24299621582031
30.3,right,2,1195,0.0,81.10600280761719,81.10600280761719
30.3,right,3,1195,0.0,78.08799743652344,78.08799743652344
30.3,right,4,1195,0.0,79.02400207519531,79.02400207519531
30.3,right,5,1195,0.0,80.15799713134766,80.15799713134766
