t_s,side,imu_temp_c,power_w
10,right,53.25,20.2
20,right,53.01,20.5
30,right,52.68,
42,right,52.39,20.6
52,right,52.01,20.0
62,right,51.67,20.4
72,right,51.48,19.8
82,right,51.24,20.7
92,right,51.05,20.4
102,right,50.52,19.7
113,right,50.19,20.9
123,right,49.9,20.2
133,right,49.85,20.4
143,right,49.51,20.5
153,right,49.32,20.5
163,right,49.23,21.1
173,right,48.84,20.0
183,right,48.51,20.3
193,right,48.51,19.7
203,right,48.46,20.4
213,right,47.98,20.7
223,right,48.08,20.3
233,right,47.79,20.6
240,right,47.79,19.9
