t_s,side,cam,frames,silent_s,temp_c,temp_max_c
5.0,right,0,182,0.0,40.01100158691406,40.01100158691406
5.0,right,1,182,0.0,42.10900115966797,42.10900115966797
5.0,right,2,181,0.0,44.19599914550781,44.19599914550781
5.0,right,3,181,0.0,46.11199951171875,46.11199951171875
5.0,right,4,181,0.0,45.117000579833984,45.117000579833984
5.0,right,5,181,0.0,44.125999450683594,44.125999450683594
5.0,right,6,181,0.0,43.018001556396484,43.018001556396484
5.0,right,7,181,0.0,42.00199890136719,42.00199890136719
10.1,right,0,384,0.0,48.189998626708984,48.189998626708984
10.1,right,1,384,0.0,51.1879997253418,51.1879997253418
10.1,right,2,384,0.0,53.13100051879883,53.13100051879883
10.1,right,3,384,0.0,54.21200180053711,54.21200180053711
10.1,right,4,384,0.0,53.18299865722656,53.18299865722656
10.1,right,5,384,0.0,53.03300094604492,53.03300094604492
10.1,right,6,383,0.0,53.06999969482422,53.06999969482422
10.1,right,7,383,0.0,51.24399948120117,51.24399948120117
15.1,right,0,587,0.0,57.0359992980957,57.0359992980957
15.1,right,1,587,0.0,60.16999816894531,60.16999816894531
15.1,right,2,586,0.0,62.02799987792969,62.02799987792969
15.1,right,3,586,0.0,61.143001556396484,61.143001556396484
15.1,right,4,586,0.0,60.2140007019043,60.2140007019043
15.1,right,5,586,0.0,60.08700180053711,60.08700180053711
15.1,right,6,586,0.0,60.154998779296875,60.154998779296875
15.1,right,7,586,0.0,59.00400161743164,59.00400161743164
20.2,right,0,789,0.0,62.20800018310547,62.20800018310547
20.2,right,1,789,0.0,66.2040023803711,66.2040023803711
20.2,right,2,789,0.0,67.25399780273438,67.25399780273438
20.2,right,3,789,0.0,67.19400024414062,67.19400024414062
20.2,right,4,789,0.0,67.08999633789062,67.08999633789062
20.2,right,5,789,0.0,67.08300018310547,67.08300018310547
20.2,right,6,788,0.0,66.14800262451172,66.14800262451172
20.2,right,7,788,0.0,64.1240005493164,64.1240005493164
25.2,right,0,990,0.0,67.16799926757812,67.16799926757812
25.2,right,1,990,0.0,72.04399871826172,72.04399871826172
25.2,right,2,990,0.0,72.24800109863281,72.24800109863281
25.2,right,3,990,0.0,72.05699920654297,72.05699920654297
25.2,right,4,990,0.0,72.01200103759766,72.01200103759766
25.2,right,5,990,0.0,72.0719985961914,72.0719985961914
25.2,right,6,990,0.0,72.10099792480469,72.10099792480469
25.2,right,7,990,0.0,70.00700378417969,70.00700378417969
30.3,right,0,1195,0.0,72.12699890136719,72.12699890136719
30.3,right,1,1195,0.0,77.12000274658203,77.12000274658203
30.3,right,2,1195,0.0,78.00499725341797,78.00499725341797
30.3,right,3,1195,0.0,75.17900085449219,75.17900085449219
30.3,right,4,1195,0.0,75.15499877929688,75.15499877929688
30.3,right,5,1195,0.0,76.14299774169922,76.14299774169922
30.3,right,6,1195,0.0,76.18000030517578,76.18000030517578
30.3,right,7,1195,0.0,73.2490005493164,73.2490005493164
35.5,right,0,1400,0.0,75.15299987792969,75.15299987792969
35.5,right,1,1400,0.0,81.12300109863281,81.12300109863281
35.5,right,2,1400,0.0,81.24099731445312,81.24099731445312
35.5,right,3,1400,0.0,79.14199829101562,79.14199829101562
35.5,right,4,1400,0.0,79.17900085449219,79.17900085449219
35.5,right,5,1400,0.0,81.07499694824219,81.07499694824219
35.5,right,6,1400,0.0,80.20099639892578,80.20099639892578
35.5,right,7,1400,0.0,77.12000274658203,77.12000274658203
40.6,right,0,1605,0.0,79.0979995727539,79.0979995727539
40.6,right,1,1605,0.0,85.1259994506836,85.1259994506836
40.6,right,2,1605,0.0,85.1050033569336,85.1050033569336
40.6,right,3,1605,0.0,82.08999633789062,82.08999633789062
40.6,right,4,1605,0.0,82.16699981689453,82.16699981689453
40.6,right,5,1605,0.0,84.20999908447266,84.20999908447266
40.6,right,6,1605,0.0,84.22200012207031,84.22200012207031
40.6,right,7,1605,0.0,81.00900268554688,81.00900268554688
45.6,right,0,1807,0.0,82.0459976196289,82.0459976196289
45.6,right,1,1807,0.0,89.18699645996094,89.18699645996094
45.6,right,2,1806,0.0,89.0459976196289,89.0459976196289
45.6,right,3,1806,0.0,84.23699951171875,84.23699951171875
45.6,right,4,1806,0.0,85.13600158691406,85.13600158691406
45.6,right,5,1806,0.0,88.0510025024414,88.0510025024414
45.6,right,6,1806,0.0,88.08799743652344,88.08799743652344
45.6,right,7,1806,0.0,83.21600341796875,83.21600341796875
50.7,right,0,2009,0.0,84.19300079345703,84.19300079345703
50.7,right,1,2009,0.0,92.17400360107422,92.17400360107422
50.7,right,2,2009,0.0,91.19100189208984,91.19100189208984
50.7,right,3,2009,0.0,87.10700225830078,87.10700225830078
50.7,right,4,2009,0.0,88.14399719238281,88.14399719238281
50.7,right,5,2009,0.0,91.052001953125,91.052001953125
50.7,right,6,2008,0.0,91.05500030517578,91.05500030517578
50.7,right,7,2008,0.0,86.12899780273438,86.12899780273438
55.8,right,0,2214,0.0,87.0250015258789,87.0250015258789
55.8,right,1,2214,0.0,95.20099639892578,95.20099639892578
55.8,right,2,2214,0.0,94.23300170898438,94.23300170898438
55.8,right,3,2214,0.0,89.0989990234375,89.0989990234375
55.8,right,4,2214,0.0,90.11699676513672,90.11699676513672
55.8,right,5,2214,0.0,93.25199890136719,93.25199890136719
55.8,right,6,2213,0.0,93.20099639892578,93.20099639892578
55.8,right,7,2213,0.0,88.23899841308594,88.23899841308594
60.9,right,0,2417,0.0,89.05500030517578,89.05500030517578
60.9,right,1,2417,0.0,98.18900299072266,98.18900299072266
60.9,right,2,2416,0.0,97.14099884033203,97.14099884033203
60.9,right,3,2416,0.0,91.08999633789062,91.08999633789062
60.9,right,4,2416,0.0,92.08899688720703,92.08899688720703
60.9,right,5,2416,0.0,96.1760025024414,96.1760025024414
60.9,right,6,2416,0.0,96.11000061035156,96.11000061035156
60.9,right,7,2416,0.0,90.25199890136719,90.25199890136719
65.9,right,0,2619,0.0,91.06600189208984,91.06600189208984
65.9,right,1,2619,0.0,101.0989990234375,101.0989990234375
65.9,right,2,2619,0.0,99.24700164794922,99.24700164794922
65.9,right,3,2619,0.0,93.04299926757812,93.04299926757812
