t_s,side,cam,frames,silent_s,temp_c,temp_max_c
5.0,right,3,170,0.2,49.137001037597656,113.20700073242188
10.1,right,3,380,0.0,57.237998962402344,113.20700073242188
15.1,right,3,580,0.1,63.250999450683594,113.20700073242188
20.2,right,3,780,0.2,69.18599700927734,113.20700073242188
25.3,right,3,990,0.0,73.11000061035156,113.20700073242188
30.3,right,3,1190,0.1,77.03500366210938,113.20700073242188
35.4,right,3,1390,0.1,80.00199890136719,113.20700073242188
40.4,right,3,1590,0.2,82.08999633789062,113.20700073242188
45.5,right,3,1790,0.2,84.10099792480469,113.20700073242188
50.6,right,3,2000,0.0,86.1500015258789,113.20700073242188
55.6,right,3,2200,0.1,88.04499816894531,113.20700073242188
60.7,right,3,2400,0.2,89.11799621582031,113.20700073242188
65.7,right,3,2600,0.2,91.01300048828125,113.20700073242188
70.8,right,3,2810,0.0,91.24500274658203,113.20700073242188
75.9,right,3,3010,0.1,92.22100067138672,113.20700073242188
80.9,right,3,3210,0.2,93.21700286865234,113.20700073242188
86.0,right,3,3410,0.2,94.21199798583984,113.20700073242188
91.0,right,3,3610,0.2,95.13099670410156,113.20700073242188
96.1,right,3,3820,0.1,96.08799743652344,113.20700073242188
101.1,right,3,4020,0.1,97.00599670410156,113.20700073242188
106.2,right,3,4220,0.2,97.16100311279297,113.20700073242188
111.3,right,3,4430,0.0,98.05899810791016,113.20700073242188
116.3,right,3,4630,0.1,98.19499969482422,113.20700073242188
121.4,right,3,4830,0.1,99.05500030517578,113.20700073242188
126.5,right,3,5030,0.2,99.1709976196289,113.20700073242188
131.6,right,3,5240,0.1,100.03099822998047,113.20700073242188
136.7,right,3,5440,0.1,100.14800262451172,113.20700073242188
141.7,right,3,5640,0.2,100.2249984741211,113.20700073242188
146.8,right,3,5840,0.2,101.08499908447266,113.20700073242188
151.8,right,3,6050,0.1,101.16300201416016,113.20700073242188
156.9,right,3,6250,0.1,102.00299835205078,113.20700073242188
161.9,right,3,6450,0.2,102.08100128173828,113.20700073242188
167.0,right,3,6650,0.2,102.15799713134766,113.20700073242188
172.1,right,3,6860,0.0,102.23600006103516,113.20700073242188
177.1,right,3,7060,0.1,103.03800201416016,113.20700073242188
182.2,right,3,7260,0.2,103.11499786376953,113.20700073242188
187.2,right,3,7460,0.2,103.1729965209961,113.20700073242188
192.3,right,3,7670,0.0,103.23100280761719,113.20700073242188
197.3,right,3,7870,0.1,104.03299713134766,113.20700073242188
202.4,right,3,8070,0.1,104.09100341796875,113.20700073242188
207.5,right,3,8270,0.2,104.14900207519531,113.20700073242188
212.5,right,3,8480,0.0,104.20800018310547,113.20700073242188
217.6,right,3,8680,0.1,105.01000213623047,113.20700073242188
222.7,right,3,8880,0.2,105.0479965209961,113.20700073242188
227.7,right,3,9080,0.2,105.10600280761719,113.20700073242188
232.9,right,3,9290,0.1,105.1449966430664,113.20700073242188
237.9,right,3,9490,0.2,105.18399810791016,113.20700073242188
243.0,right,3,9690,0.2,105.24199676513672,113.20700073242188
248.1,right,3,9900,0.1,106.0250015258789,113.20700073242188
253.2,right,3,10100,0.2,106.06300354003906,113.20700073242188
258.4,right,3,10310,0.1,106.12100219726562,113.20700073242188
263.5,right,3,10510,0.2,106.14099884033203,113.20700073242188
268.5,right,3,10720,0.0,106.18000030517578,113.20700073242188
273.6,right,3,10920,0.1,106.23799896240234,113.20700073242188
278.6,right,3,11120,0.1,107.0199966430664,113.20700073242188
283.7,right,3,11320,0.2,107.0199966430664,113.20700073242188
288.8,right,3,11530,0.0,107.0780029296875,113.20700073242188
293.8,right,3,11730,0.1,107.11699676513672,113.20700073242188
298.9,right,3,11930,0.1,107.13600158691406,113.20700073242188
