t_s,side,imu_temp_c,power_w
10,right,52.87,20.3
20,right,52.53,20.8
30,right,51.96,20.3
40,right,51.77,20.7
50,right,51.34,20.5
60,right,51.29,20.2
70,right,50.81,20.5
80,right,50.28,20.5
91,right,50.19,20.1
101,right,49.85,20.6
111,right,49.56,20.7
121,right,48.84,20.7
131,right,48.94,20.5
141,right,48.46,20.5
151,right,48.17,20.7
161,right,48.17,20.6
171,right,47.88,21.0
181,right,47.98,20.8
191,right,47.74,20.1
201,right,47.55,20.5
211,right,47.26,20.7
221,right,46.93,20.0
231,right,46.88,20.5
241,right,46.73,20.2
251,right,46.54,20.9
262,right,46.35,21.2
272,right,46.3,20.2
282,right,46.02,20.4
292,right,45.78,20.4
302,right,45.82,20.3
312,right,45.78,20.6
322,right,45.34,20.9
332,right,45.34,20.2
342,right,45.44,20.6
352,right,45.15,20.7
362,right,45.25,20.0
372,right,45.11,20.2
382,right,44.72,20.1
392,right,44.91,21.0
402,right,44.72,19.9
413,right,44.29,20.3
423,right,44.48,20.4
433,right,44.48,20.7
443,right,44.39,19.9
453,right,44.24,20.7
463,right,44.05,20.4
473,right,44.1,21.0
483,right,43.96,20.6
493,right,43.91,20.4
503,right,43.86,20.7
513,right,43.86,20.3
523,right,43.57,19.9
534,right,43.52,21.0
539,right,43.33,19.9
