t_s,side,cam,frames,silent_s,temp_c,temp_max_c
5.0,right,0,182,0.0,37.02299880981445,37.02299880981445
5.0,right,1,182,0.0,38.22200012207031,38.22200012207031
5.0,right,2,181,0.0,39.16299819946289,39.16299819946289
5.0,right,3,181,0.0,40.060001373291016,40.060001373291016
5.0,right,4,181,0.0,38.24100112915039,38.24100112915039
5.0,right,5,181,0.0,38.18199920654297,38.18199920654297
5.0,right,6,181,0.0,39.07500076293945,39.07500076293945
5.0,right,7,181,0.0,38.189998626708984,38.189998626708984
10.1,right,0,384,0.0,46.10100173950195,46.10100173950195
10.1,right,1,384,0.0,48.064998626708984,48.064998626708984
10.1,right,2,384,0.0,48.2140007019043,48.2140007019043
10.1,right,3,384,0.0,48.18000030517578,48.18000030517578
10.1,right,4,384,0.0,48.066001892089844,48.066001892089844
10.1,right,5,384,0.0,48.025001525878906,48.025001525878906
10.1,right,6,383,0.0,48.16999816894531,48.16999816894531
10.1,right,7,383,0.0,47.237998962402344,47.237998962402344
15.1,right,0,585,0.0,53.22700119018555,53.22700119018555
15.1,right,1,585,0.0,56.10900115966797,56.10900115966797
15.1,right,2,585,0.0,56.1349983215332,56.1349983215332
15.1,right,3,585,0.0,54.21200180053711,54.21200180053711
15.1,right,4,585,0.0,55.13600158691406,55.13600158691406
15.1,right,5,585,0.0,55.2130012512207,55.2130012512207
15.1,right,6,585,0.0,56.13399887084961,56.13399887084961
15.1,right,7,585,0.0,55.15299987792969,55.15299987792969
20.2,right,0,788,0.0,59.2400016784668,59.2400016784668
20.2,right,1,788,0.0,62.2400016784668,62.2400016784668
20.2,right,2,788,0.0,62.16299819946289,62.16299819946289
20.2,right,3,788,0.0,61.124000549316406,61.124000549316406
20.2,right,4,787,0.0,61.189998626708984,61.189998626708984
20.2,right,5,787,0.0,62.016998291015625,62.016998291015625
20.2,right,6,787,0.0,62.165000915527344,62.165000915527344
20.2,right,7,787,0.0,61.095001220703125,61.095001220703125
25.2,right,0,990,0.0,64.16100311279297,64.16100311279297
25.2,right,1,990,0.0,68.04100036621094,68.04100036621094
25.2,right,2,990,0.0,67.19599914550781,67.19599914550781
25.2,right,3,990,0.0,65.22200012207031,65.22200012207031
25.2,right,4,990,0.0,67.03099822998047,67.03099822998047
25.2,right,5,990,0.0,68.03800201416016,68.03800201416016
25.2,right,6,990,0.0,68.21600341796875,68.21600341796875
25.2,right,7,990,0.0,66.0,66.0
30.3,right,0,1192,0.0,69.10099792480469,69.10099792480469
30.3,right,1,1192,0.0,72.21800231933594,72.21800231933594
30.3,right,2,1191,0.0,72.01599884033203,72.01599884033203
30.3,right,3,1191,0.0,69.16600036621094,69.16600036621094
30.3,right,4,1191,0.0,71.0739974975586,71.0739974975586
30.3,right,5,1191,0.0,72.11000061035156,72.11000061035156
30.3,right,6,1191,0.0,72.23699951171875,72.23699951171875
30.3,right,7,1191,0.0,70.23999786376953,70.23999786376953
35.3,right,0,1395,0.0,73.00700378417969,73.00700378417969
35.3,right,1,1395,0.0,77.12000274658203,77.12000274658203
35.3,right,2,1395,0.0,76.1500015258789,76.1500015258789
35.3,right,3,1395,0.0,73.0719985961914,73.0719985961914
35.3,right,4,1395,0.0,74.06199645996094,74.06199645996094
35.3,right,5,1395,0.0,76.06700134277344,76.06700134277344
35.3,right,6,1395,0.0,76.21900177001953,76.21900177001953
35.3,right,7,1395,0.0,74.09100341796875,74.09100341796875
40.4,right,0,1598,0.0,75.13400268554688,75.13400268554688
40.4,right,1,1598,0.0,81.0260009765625,81.0260009765625
40.4,right,2,1598,0.0,79.23200225830078,79.23200225830078
40.4,right,3,1598,0.0,75.21800231933594,75.21800231933594
40.4,right,4,1597,0.0,77.20600128173828,77.20600128173828
40.4,right,5,1597,0.0,80.08100128173828,80.08100128173828
40.4,right,6,1597,0.0,81.02200317382812,81.02200317382812
40.4,right,7,1597,0.0,77.0999984741211,77.0999984741211
45.4,right,0,1799,0.0,78.21800231933594,78.21800231933594
45.4,right,1,1799,0.0,84.16899871826172,84.16899871826172
45.4,right,2,1799,0.0,83.05699920654297,83.05699920654297
45.4,right,3,1799,0.0,78.06900024414062,78.06900024414062
45.4,right,4,1799,0.0,80.11699676513672,80.11699676513672
45.4,right,5,1799,0.0,83.15899658203125,83.15899658203125
45.4,right,6,1798,0.0,84.0479965209961,84.0479965209961
45.4,right,7,1798,0.0,80.14800262451172,80.14800262451172
50.5,right,0,2003,0.0,81.06999969482422,81.06999969482422
50.5,right,1,2003,0.0,88.05500030517578,88.05500030517578
50.5,right,2,2003,0.0,86.13899993896484,86.13899993896484
50.5,right,3,2003,0.0,80.23500061035156,80.23500061035156
50.5,right,4,2002,0.0,82.2249984741211,82.2249984741211
50.5,right,5,2002,0.0,86.16000366210938,86.16000366210938
50.5,right,6,2002,0.0,87.05400085449219,87.05400085449219
50.5,right,7,2002,0.0,82.23899841308594,82.23899841308594
55.6,right,0,2204,0.0,83.11900329589844,83.11900329589844
55.6,right,1,2204,0.0,90.24099731445312,90.24099731445312
55.6,right,2,2204,0.0,89.0459976196289,89.0459976196289
55.6,right,3,2204,0.0,82.20700073242188,82.20700073242188
55.6,right,4,2204,0.0,85.13600158691406,85.13600158691406
55.6,right,5,2204,0.0,89.14199829101562,89.14199829101562
55.6,right,6,2203,0.0,89.19999694824219,89.19999694824219
55.6,right,7,2203,0.0,85.0739974975586,85.0739974975586
60.6,right,0,2405,0.0,85.20800018310547,85.20800018310547
