t_s,side,cam,frames,silent_s,temp_c,temp_max_c
5.0,right,0,182,0.0,41.21900177001953,41.21900177001953
5.0,right,1,182,0.0,44.178001403808594,44.178001403808594
5.0,right,2,181,0.0,47.08399963378906,47.08399963378906
5.0,right,3,181,0.0,48.141998291015625,48.141998291015625
5.0,right,4,181,0.0,48.16299819946289,48.16299819946289
5.0,right,5,181,0.0,48.08300018310547,48.08300018310547
5.0,right,6,181,0.0,47.0,47.0
5.0,right,7,181,0.0,45.0890007019043,45.0890007019043
10.2,right,0,390,0.0,52.018001556396484,52.018001556396484
10.2,right,1,390,0.0,55.152000427246094,55.152000427246094
10.2,right,2,390,0.0,56.02000045776367,56.02000045776367
10.2,right,3,390,0.0,56.242000579833984,56.242000579833984
10.2,right,4,390,0.0,57.012001037597656,57.012001037597656
10.2,right,5,390,0.0,56.24599838256836,56.24599838256836
10.2,right,6,390,0.0,57.051998138427734,57.051998138427734
10.2,right,7,390,0.0,55.095001220703125,55.095001220703125
15.3,right,0,593,0.0,59.047000885009766,59.047000885009766
15.3,right,1,593,0.0,63.04199981689453,63.04199981689453
15.3,right,2,593,0.0,64.13400268554688,64.13400268554688
15.3,right,3,593,0.0,64.11100006103516,64.11100006103516
15.3,right,4,592,0.0,64.00399780273438,64.00399780273438
15.3,right,5,592,0.0,64.00499725341797,64.00499725341797
15.3,right,6,592,0.0,64.0979995727539,64.0979995727539
15.3,right,7,592,0.0,62.071998596191406,62.071998596191406
20.6,right,0,804,0.0,65.19499969482422,65.19499969482422
20.6,right,1,804,0.0,69.07499694824219,69.07499694824219
20.6,right,2,804,0.0,70.12300109863281,70.12300109863281
20.6,right,3,804,0.0,69.16600036621094,69.16600036621094
20.6,right,4,804,0.0,70.11699676513672,70.11699676513672
20.6,right,5,804,0.0,70.21800231933594,70.21800231933594
20.6,right,6,803,0.0,71.125,71.125
20.6,right,7,803,0.0,68.14900207519531,68.14900207519531
25.6,right,0,1007,0.0,70.11599731445312,70.11599731445312
25.6,right,1,1007,0.0,75.0510025024414,75.0510025024414
25.6,right,2,1006,0.0,75.23300170898438,75.23300170898438
25.6,right,3,1006,0.0,74.0479965209961,74.0479965209961
25.6,right,4,1006,0.0,74.13999938964844,74.13999938964844
25.6,right,5,1006,0.0,75.1500015258789,75.1500015258789
25.6,right,6,1006,0.0,75.18499755859375,75.18499755859375
25.6,right,7,1006,0.0,72.25299835205078,72.25299835205078
30.7,right,0,1210,0.0,74.13800048828125,74.13800048828125
30.7,right,1,1210,0.0,79.22799682617188,79.22799682617188
30.7,right,2,1210,0.0,80.0719985961914,80.0719985961914
30.7,right,3,1210,0.0,77.22799682617188,77.22799682617188
30.7,right,4,1210,0.0,79.04299926757812,79.04299926757812
30.7,right,5,1210,0.0,80.177001953125,80.177001953125
30.7,right,6,1210,0.0,81.02200317382812,81.02200317382812
30.7,right,7,1210,0.0,77.00299835205078,77.00299835205078
35.7,right,0,1410,0.0,78.10199737548828,78.10199737548828
35.7,right,1,1410,0.0,84.03299713134766,84.03299713134766
35.7,right,2,1410,0.0,84.03299713134766,84.03299713134766
35.7,right,3,1410,0.0,80.25399780273438,80.25399780273438
35.7,right,4,1410,0.0,82.10900115966797,82.10900115966797
35.7,right,5,1410,0.0,84.1719970703125,84.1719970703125
35.7,right,6,1410,0.0,84.22200012207031,84.22200012207031
35.7,right,7,1410,0.0,80.24600219726562,80.24600219726562
40.8,right,0,1612,0.0,81.12799835205078,81.12799835205078
40.8,right,1,1612,0.0,88.1719970703125,88.1719970703125
40.8,right,2,1611,0.0,88.01300048828125,88.01300048828125
40.8,right,3,1611,0.0,83.16300201416016,83.16300201416016
40.8,right,4,1611,0.0,85.11699676513672,85.11699676513672
40.8,right,5,1611,0.0,88.07099914550781,88.07099914550781
40.8,right,6,1611,0.0,88.14600372314453,88.14600372314453
40.8,right,7,1611,0.0,83.25499725341797,83.25499725341797
