t_s,side,cam,frames,silent_s,temp_c,temp_max_c
5.0,right,0,185,0.0,35.1870002746582,35.1870002746582
5.0,right,1,185,0.0,37.207000732421875,37.207000732421875
5.0,right,2,185,0.0,38.207000732421875,38.207000732421875
5.0,right,3,185,0.0,39.20000076293945,39.20000076293945
5.0,right,4,185,0.0,40.058998107910156,40.058998107910156
5.0,right,5,185,0.0,38.00899887084961,38.00899887084961
5.0,right,6,185,0.0,38.097999572753906,38.097999572753906
5.0,right,7,185,0.0,37.17399978637695,37.17399978637695
10.1,right,0,387,0.0,44.24599838256836,44.24599838256836
10.1,right,1,387,0.0,47.01100158691406,47.01100158691406
10.1,right,2,386,0.0,47.23899841308594,47.23899841308594
10.1,right,3,386,0.0,48.06399917602539,48.06399917602539
10.1,right,4,386,0.0,48.24100112915039,48.24100112915039
10.1,right,5,386,0.0,47.06999969482422,47.06999969482422
10.1,right,6,386,0.0,47.17399978637695,47.17399978637695
10.1,right,7,386,0.0,46.18299865722656,46.18299865722656
15.1,right,0,590,0.0,51.23500061035156,51.23500061035156
15.1,right,1,590,0.0,54.19499969482422,54.19499969482422
15.1,right,2,590,0.0,55.04399871826172,55.04399871826172
15.1,right,3,590,0.0,54.250999450683594,54.250999450683594
15.1,right,4,590,0.0,55.2140007019043,55.2140007019043
15.1,right,5,590,0.0,55.194000244140625,55.194000244140625
15.1,right,6,590,0.0,56.05699920654297,56.05699920654297
15.1,right,7,590,0.0,53.19900131225586,53.19900131225586
20.2,right,0,790,0.0,58.18600082397461,58.18600082397461
20.2,right,1,790,0.0,61.03099822998047,61.03099822998047
20.2,right,2,790,0.0,61.11000061035156,61.11000061035156
20.2,right,3,790,0.0,60.14699935913086,60.14699935913086
20.2,right,4,790,0.0,61.17100143432617,61.17100143432617
20.2,right,5,790,0.0,61.21500015258789,61.21500015258789
20.2,right,6,790,0.0,62.04899978637695,62.04899978637695
20.2,right,7,790,0.0,60.137001037597656,60.137001037597656
25.2,right,0,994,0.0,63.106998443603516,63.106998443603516
25.2,right,1,994,0.0,67.08399963378906,67.08399963378906
25.2,right,2,994,0.0,67.06099700927734,67.06099700927734
25.2,right,3,994,0.0,65.16400146484375,65.16400146484375
25.2,right,4,994,0.0,66.11299896240234,66.11299896240234
25.2,right,5,994,0.0,66.24299621582031,66.24299621582031
25.2,right,6,993,0.0,67.10399627685547,67.10399627685547
25.2,right,7,993,0.0,65.06199645996094,65.06199645996094
30.3,right,0,1195,0.0,67.07099914550781,67.07099914550781
30.3,right,1,1195,0.0,71.2030029296875,71.2030029296875
30.3,right,2,1195,0.0,71.19499969482422,71.19499969482422
30.3,right,3,1195,0.0,69.12799835205078,69.12799835205078
30.3,right,4,1195,0.0,71.03500366210938,71.03500366210938
30.3,right,5,1195,0.0,72.01399993896484,72.01399993896484
30.3,right,6,1195,0.0,72.00499725341797,72.00499725341797
30.3,right,7,1195,0.0,69.10700225830078,69.10700225830078
35.4,right,0,1400,0.0,71.11199951171875,71.11199951171875
35.4,right,1,1400,0.0,76.1240005493164,76.1240005493164
35.4,right,2,1400,0.0,75.13600158691406,75.13600158691406
35.4,right,3,1400,0.0,72.13400268554688,72.13400268554688
35.4,right,4,1400,0.0,74.04299926757812,74.04299926757812
35.4,right,5,1400,0.0,75.20700073242188,75.20700073242188
35.4,right,6,1400,0.0,76.04499816894531,76.04499816894531
35.4,right,7,1400,0.0,73.0739974975586,73.0739974975586
40.5,right,0,1603,0.0,74.08000183105469,74.08000183105469
40.5,right,1,1603,0.0,80.02999877929688,80.02999877929688
40.5,right,2,1603,0.0,79.09700012207031,79.09700012207031
40.5,right,3,1603,0.0,75.13999938964844,75.13999938964844
40.5,right,4,1602,0.0,77.0510025024414,77.0510025024414
40.5,right,5,1602,0.0,79.10600280761719,79.10600280761719
40.5,right,6,1602,0.0,79.2249984741211,79.2249984741211
40.5,right,7,1602,0.0,76.06400299072266,76.06400299072266
45.5,right,0,1805,0.0,76.18800354003906,76.18800354003906
45.5,right,1,1805,0.0,83.09500122070312,83.09500122070312
45.5,right,2,1805,0.0,82.15899658203125,82.15899658203125
45.5,right,3,1805,0.0,78.02999877929688,78.02999877929688
45.5,right,4,1805,0.0,80.09700012207031,80.09700012207031
45.5,right,5,1805,0.0,83.02400207519531,83.02400207519531
45.5,right,6,1805,0.0,83.12999725341797,83.12999725341797
45.5,right,7,1805,0.0,79.03500366210938,79.03500366210938
50.6,right,0,2007,0.0,79.17500305175781,79.17500305175781
50.6,right,1,2007,0.0,86.16000366210938,86.16000366210938
50.6,right,2,2006,0.0,85.1050033569336,85.1050033569336
50.6,right,3,2006,0.0,80.0989990234375,80.0989990234375
50.6,right,4,2006,0.0,82.20600128173828,82.20600128173828
50.6,right,5,2006,0.0,86.06400299072266,86.06400299072266
50.6,right,6,2006,0.0,86.09700012207031,86.09700012207031
50.6,right,7,2006,0.0,82.00599670410156,82.00599670410156
55.6,right,0,2209,0.0,81.2249984741211,81.2249984741211
55.6,right,1,2209,0.0,90.00800323486328,90.00800323486328
55.6,right,2,2209,0.0,88.01300048828125,88.01300048828125
55.6,right,3,2209,0.0,82.08999633789062,82.08999633789062
55.6,right,4,2209,0.0,85.0199966430664,85.0199966430664
55.6,right,5,2209,0.0,88.20500183105469,88.20500183105469
55.6,right,6,2208,0.0,89.06400299072266,89.06400299072266
55.6,right,7,2208,0.0,84.05799865722656,84.05799865722656
60.7,right,0,2410,0.0,83.25499725341797,83.25499725341797
60.7,right,1,2410,0.0,92.01899719238281,92.01899719238281
60.7,right,2,2410,0.0,90.21499633789062,90.21499633789062
60.7,right,3,2410,0.0,84.06199645996094,84.06199645996094
60.7,right,4,2410,0.0,87.06999969482422,87.06999969482422
60.7,right,5,2410,0.0,91.12899780273438,91.12899780273438
60.7,right,6,2410,0.0,91.20999908447266,91.20999908447266
60.7,right,7,2410,0.0,86.10900115966797,86.10900115966797
65.7,right,0,2614,0.0,85.22699737548828,85.22699737548828
65.7,right,1,2614,0.0,95.0260009765625,95.0260009765625
65.7,right,2,2614,0.0,93.12300109863281,93.12300109863281
65.7,right,3,2614,0.0,86.01499938964844,86.01499938964844
65.7,right,4,2614,0.0,89.15899658203125,89.15899658203125
65.7,right,5,2614,0.0,93.21299743652344,93.21299743652344
65.7,right,6,2613,0.0,93.22000122070312,93.22000122070312
65.7,right,7,2613,0.0,88.08300018310547,88.08300018310547
70.8,right,0,2817,0.0,87.18000030517578,87.18000030517578
70.8,right,1,2817,0.0,97.15399932861328,97.15399932861328
70.8,right,2,2816,0.0,95.0739974975586,95.0739974975586
70.8,right,3,2816,0.0,87.2239990234375,87.2239990234375
70.8,right,4,2816,0.0,90.17500305175781,90.17500305175781
70.8,right,5,2816,0.0,96.08000183105469,96.08000183105469
70.8,right,6,2816,0.0,96.052001953125,96.052001953125
70.8,right,7,2816,0.0,90.05699920654297,90.05699920654297
75.9,right,0,3019,0.0,89.07499694824219,89.07499694824219
75.9,right,1,3019,0.0,99.24299621582031,99.24299621582031
75.9,right,2,3019,0.0,97.18000030517578,97.18000030517578
75.9,right,3,3019,0.0,89.0790023803711,89.0790023803711
75.9,right,4,3019,0.0,92.12799835205078,92.12799835205078
75.9,right,5,3019,0.0,98.10600280761719,98.10600280761719
75.9,right,6,3018,0.0,98.10099792480469,98.10099792480469
75.9,right,7,3018,0.0,91.20899963378906,91.20899963378906
80.9,right,0,3222,0.0,90.18699645996094,90.18699645996094
80.9,right,1,3222,0.0,102.01699829101562,102.01699829101562
80.9,right,2,3221,0.0,99.1500015258789,99.1500015258789
80.9,right,3,3221,0.0,90.1719970703125,90.1719970703125
80.9,right,4,3221,0.0,93.22100067138672,93.22100067138672
80.9,right,5,3221,0.0,100.19000244140625,100.19000244140625
80.9,right,6,3221,0.0,100.13099670410156,100.13099670410156
80.9,right,7,3221,0.0,93.08599853515625,93.08599853515625
86.0,right,0,3423,0.0,92.10099792480469,92.10099792480469
86.0,right,1,3423,0.0,104.14399719238281,104.14399719238281
86.0,right,2,3423,0.0,101.12100219726562,101.12100219726562
86.0,right,3,3423,0.0,91.2249984741211,91.2249984741211
86.0,right,4,3422,0.0,95.05799865722656,95.05799865722656
86.0,right,5,3422,0.0,102.1780014038086,102.1780014038086
86.0,right,6,3422,0.0,102.10299682617188,102.10299682617188
86.0,right,7,3422,0.0,95.00199890136719,95.00199890136719
91.0,right,0,3625,0.0,93.17400360107422,93.17400360107422
91.0,right,1,3625,0.0,106.17500305175781,106.17500305175781
91.0,right,2,3625,0.0,103.12999725341797,103.12999725341797
91.0,right,3,3625,0.0,93.04299926757812,93.04299926757812
91.0,right,4,3625,0.0,96.1709976196289,96.1709976196289
91.0,right,5,3625,0.0,104.12699890136719,104.12699890136719
91.0,right,6,3625,0.0,104.05500030517578,104.05500030517578
91.0,right,7,3625,0.0,96.09600067138672,96.09600067138672
96.1,right,0,3827,0.0,94.24700164794922,94.24700164794922
96.1,right,1,3827,0.0,108.16699981689453,108.16699981689453
96.1,right,2,3826,0.0,105.06199645996094,105.06199645996094
96.1,right,3,3826,0.0,94.0770034790039,94.0770034790039
96.1,right,4,3826,0.0,98.0270004272461,98.0270004272461
96.1,right,5,3826,0.0,106.1729965209961,106.1729965209961
96.1,right,6,3826,0.0,106.0459976196289,106.0459976196289
96.1,right,7,3826,0.0,97.19000244140625,97.19000244140625
101.1,right,0,4030,0.0,96.12300109863281,96.12300109863281
101.1,right,1,4030,0.0,110.25499725341797,110.25499725341797
101.1,right,2,4030,0.0,106.23100280761719,106.23100280761719
101.1,right,3,4030,0.0,95.09200286865234,95.09200286865234
101.1,right,4,4030,0.0,99.08200073242188,99.08200073242188
101.1,right,5,4030,0.0,108.10299682617188,108.10299682617188
101.1,right,6,4030,0.0,107.21600341796875,107.21600341796875
101.1,right,7,4030,0.0,99.0469970703125,99.0469970703125
106.2,right,0,4233,0.0,97.15699768066406,97.15699768066406
106.2,right,1,4233,0.0,112.24700164794922,112.24700164794922
106.2,right,2,4233,0.0,108.20099639892578,108.20099639892578
106.2,right,3,4233,0.0,96.14600372314453,96.14600372314453
106.2,right,4,4232,0.0,100.11599731445312,100.11599731445312
106.2,right,5,4232,0.0,110.0530014038086,110.0530014038086
106.2,right,6,4232,0.0,109.11000061035156,109.11000061035156
106.2,right,7,4232,0.0,100.10199737548828,100.10199737548828
111.3,right,0,4435,0.0,98.25,98.25
111.3,right,1,4338,2.4,113.24299621582031,113.24299621582031
111.3,right,2,4435,0.0,110.13300323486328,110.13300323486328
111.3,right,3,4435,0.0,97.14099884033203,97.14099884033203
111.3,right,4,4435,0.0,101.19000244140625,101.19000244140625
111.3,right,5,4434,0.0,112.02100372314453,112.02100372314453
111.3,right,6,4434,0.0,111.06300354003906,111.06300354003906
111.3,right,7,4434,0.0,101.1760025024414,101.1760025024414
116.3,right,0,4636,0.0,100.00900268554688,100.00900268554688
116.3,right,1,4338,7.5,113.24299621582031,113.24299621582031
116.3,right,2,4636,0.0,112.00800323486328,112.00800323486328
116.3,right,3,4636,0.0,98.1760025024414,98.1760025024414
116.3,right,4,4636,0.0,102.20600128173828,102.20600128173828
116.3,right,5,4636,0.0,113.22699737548828,113.22699737548828
116.3,right,6,4636,0.0,112.21299743652344,112.21299743652344
116.3,right,7,4636,0.0,102.23100280761719,102.23100280761719
121.4,right,0,4839,0.0,101.00499725341797,101.00499725341797
121.4,right,1,4338,12.5,113.24299621582031,113.24299621582031
121.4,right,2,4839,0.0,113.11799621582031,113.11799621582031
121.4,right,3,4839,0.0,99.1709976196289,99.1709976196289
121.4,right,4,4839,0.0,104.04299926757812,104.04299926757812
121.4,right,5,4820,0.5,115.15699768066406,115.15699768066406
121.4,right,6,4838,0.0,114.10700225830078,114.10700225830078
121.4,right,7,4838,0.0,103.24800109863281,103.24800109863281
126.4,right,0,5041,0.0,101.23699951171875,101.23699951171875
126.4,right,1,4338,17.6,113.24299621582031,113.24299621582031
126.4,right,2,5041,0.0,114.20999908447266,114.20999908447266
126.4,right,3,5040,0.0,100.14800262451172,100.14800262451172
126.4,right,4,5040,0.0,105.03900146484375,105.03900146484375
126.4,right,5,4820,5.5,115.15699768066406,115.15699768066406
126.4,right,6,5040,0.0,116.04000091552734,116.04000091552734
126.4,right,7,5040,0.0,105.06600189208984,105.06600189208984
131.5,right,0,5243,0.0,102.17500305175781,102.17500305175781
131.5,right,1,4338,22.6,113.24299621582031,113.24299621582031
131.5,right,2,5224,0.5,116.0260009765625,116.0260009765625
131.5,right,3,5243,0.0,101.1240005493164,101.1240005493164
131.5,right,4,5243,0.0,106.05400085449219,106.05400085449219
131.5,right,5,4820,10.6,115.15699768066406,115.15699768066406
131.5,right,6,5086,3.9,116.11799621582031,116.11799621582031
131.5,right,7,5243,0.0,106.08200073242188,106.08200073242188
136.5,right,0,5446,0.0,103.13200378417969,103.13200378417969
136.5,right,1,4338,27.7,113.24299621582031,113.24299621582031
136.5,right,2,5224,5.5,116.0260009765625,116.0260009765625
136.5,right,3,5446,0.0,102.0999984741211,102.0999984741211
136.5,right,4,5445,0.0,107.01200103759766,107.01200103759766
136.5,right,5,4820,15.7,115.15699768066406,115.15699768066406
136.5,right,6,5086,9.0,116.11799621582031,116.11799621582031
136.5,right,7,5445,0.0,107.05899810791016,107.05899810791016
141.6,right,0,5648,0.0,104.03099822998047,104.03099822998047
141.6,right,1,4338,32.8,113.24299621582031,113.24299621582031
141.6,right,2,5224,10.6,116.0260009765625,116.0260009765625
