t_s,side,imu_temp_c,power_w
10,right,50.57,21.9
20,right,48.51,21.9
30,right,46.83,21.7
40,right,44.96,21.8
50,right,43.57,21.7
60,right,42.47,21.8
70,right,41.42,21.8
80,right,40.36,21.7
90,right,39.74,21.7
100,right,38.68,21.7
111,right,38.06,21.8
121,right,37.63,21.6
131,right,37.01,21.7
141,right,36.48,21.8
151,right,36.0,21.7
161,right,35.47,21.8
171,right,34.99,21.6
181,right,34.75,21.7
191,right,34.56,21.6
201,right,34.42,21.7
211,right,33.94,21.7
221,right,33.94,21.6
231,right,33.65,21.7
240,right,33.7,21.7
