t_s,side,imu_temp_c,power_w
10,right,39.45,20.0
20,right,39.31,20.2
30,right,39.31,20.0
40,right,39.5,20.4
50,right,39.35,20.3
60,right,39.21,20.5
70,right,39.21,20.1
81,right,39.11,20.3
91,right,39.35,20.5
101,right,39.21,19.6
111,right,39.31,20.4
121,right,39.02,20.3
131,right,38.97,20.1
141,right,38.92,20.2
151,right,38.92,20.2
161,right,39.02,20.7
171,right,38.92,19.8
181,right,39.16,21.0
192,right,38.83,19.8
202,right,38.92,20.8
212,right,39.16,20.3
222,right,39.31,19.7
232,right,38.97,20.5
242,right,38.78,20.6
252,right,38.83,20.4
262,right,38.97,20.3
272,right,38.68,20.4
282,right,38.68,20.5
292,right,38.68,20.0
303,right,38.49,20.7
313,right,38.64,20.1
323,right,38.49,20.4
333,right,38.68,20.6
343,right,38.64,20.1
353,right,38.64,20.8
363,right,38.59,20.4
374,right,38.59,20.3
384,right,38.92,20.5
394,right,38.59,20.2
404,right,38.68,20.4
414,right,38.68,20.5
424,right,38.68,20.4
434,right,38.59,19.7
444,right,38.4,20.5
454,right,38.4,20.5
464,right,38.25,20.9
474,right,38.68,21.2
484,right,38.44,20.2
494,right,38.68,20.6
504,right,38.44,20.8
514,right,38.3,20.1
524,right,38.4,20.1
534,right,38.4,20.7
545,right,38.4,20.4
555,right,38.4,20.3
565,right,38.44,20.5
575,right,38.4,20.2
585,right,38.49,20.4
595,right,38.59,20.2
605,right,38.4,20.0
615,right,38.25,19.8
625,right,38.49,20.6
635,right,38.4,20.3
645,right,38.06,20.9
655,right,38.44,20.2
665,right,38.4,20.4
675,right,38.4,20.7
685,right,38.44,20.1
695,right,38.06,20.5
706,right,38.25,20.0
716,right,38.44,20.6
726,right,38.3,20.8
736,right,38.11,19.8
746,right,38.16,20.1
756,right,38.4,20.2
766,right,38.16,20.9
776,right,38.11,20.5
786,right,38.3,20.6
796,right,38.25,20.2
806,right,38.25,20.3
816,right,38.16,20.5
826,right,38.3,20.0
837,right,37.92,20.4
847,right,38.16,19.8
857,right,38.06,20.0
867,right,38.4,20.4
877,right,38.11,20.0
887,right,38.06,20.6
897,right,38.11,20.3
907,right,37.96,20.1
917,right,38.11,20.6
927,right,38.25,20.1
937,right,38.06,20.7
947,right,37.73,20.4
957,right,38.06,20.4
967,right,38.11,19.6
977,right,37.96,20.4
987,right,37.96,20.4
997,right,37.96,20.8
1007,right,38.06,21.1
1018,right,38.11,20.3
1028,right,38.25,20.4
1038,right,37.92,20.8
1048,right,37.96,20.5
1058,right,37.92,20.0
1068,right,37.92,20.3
1078,right,38.11,20.3
1088,right,38.06,20.4
1098,right,37.77,20.8
1108,right,38.06,20.5
1118,right,37.92,20.6
1128,right,37.73,20.6
1139,right,37.92,20.9
1149,right,37.73,19.8
1159,right,37.96,20.0
1169,right,38.06,20.4
1179,right,37.92,20.5
1189,right,38.06,20.2
1199,right,37.87,20.5
1209,right,37.96,20.4
1219,right,37.96,19.9
1229,right,37.77,20.5
1239,right,37.96,20.2
1249,right,37.96,20.6
1259,right,37.92,20.5
1270,right,38.11,20.3
1280,right,37.77,20.9
1290,right,38.16,20.1
1300,right,37.63,20.2
1310,right,37.96,20.7
1320,right,,0.0
1330,right,,20.0
1340,right,,20.1
1350,right,,0.0
1360,right,0.0,20.1
1370,right,0.0,20.6
1380,right,0.0,21.0
1390,right,0.0,20.9
1401,right,0.0,20.9
1411,right,0.0,20.0
1421,right,0.0,20.9
1431,right,0.0,20.1
1441,right,0.0,20.7
1451,right,0.0,21.1
1461,right,0.0,19.8
1471,right,0.0,20.4
1481,right,0.0,20.2
1491,right,0.0,20.5
1502,right,0.0,20.4
1512,right,0.0,20.8
1522,right,0.0,20.3
1532,right,0.0,20.2
1542,right,0.0,20.4
1552,right,0.0,19.8
1562,right,0.0,20.7
1572,right,0.0,20.4
1582,right,0.0,19.7
1592,right,0.0,20.7
1603,right,0.0,
1615,right,0.0,20.8
1625,right,0.0,20.3
1635,right,0.0,20.3
1645,right,0.0,20.4
1655,right,0.0,20.4
1665,right,0.0,19.7
1675,right,0.0,20.5
1685,right,0.0,19.9
1696,right,0.0,20.4
1706,right,0.0,20.4
1716,right,0.0,20.5
1726,right,0.0,20.7
1736,right,0.0,20.0
1746,right,0.0,20.9
1756,right,0.0,20.7
1766,right,0.0,20.4
1776,right,0.0,20.4
1786,right,0.0,20.7
1796,right,0.0,20.4
1806,right,0.0,20.3
1817,right,0.0,20.1
1827,right,0.0,20.3
1837,right,0.0,19.9
1847,right,0.0,20.3
1857,right,0.0,20.8
1867,right,0.0,20.5
1877,right,0.0,19.8
1887,right,0.0,20.8
1897,right,0.0,20.2
1907,right,0.0,20.5
1918,right,0.0,20.3
1928,right,0.0,20.2
1938,right,0.0,20.5
1948,right,0.0,19.7
1958,right,0.0,20.5
1968,right,0.0,19.8
1978,right,0.0,20.3
1988,right,0.0,20.5
1998,right,0.0,20.6
2008,right,0.0,20.0
2018,right,0.0,20.3
2028,right,0.0,20.5
2039,right,0.0,20.3
2049,right,0.0,20.8
2059,right,0.0,21.1
2069,right,0.0,20.4
2079,right,0.0,20.9
2089,right,0.0,19.8
2099,right,0.0,20.3
2109,right,0.0,20.7
2119,right,0.0,20.5
2129,right,0.0,20.6
2139,right,0.0,20.5
2150,right,0.0,20.5
2160,right,0.0,20.2
2170,right,0.0,20.9
2180,right,0.0,20.4
2190,right,0.0,20.7
2200,right,0.0,20.7
2210,right,0.0,20.3
2220,right,0.0,20.1
2230,right,0.0,20.0
2240,right,0.0,20.3
2250,right,0.0,20.0
2260,right,0.0,20.2
2271,right,0.0,21.1
2281,right,0.0,19.6
2291,right,0.0,20.4
2301,right,0.0,20.1
2311,right,0.0,20.4
2321,right,0.0,20.3
2331,right,0.0,20.5
2340,right,0.0,20.3
