t_s,side,imu_temp_c,power_w
10,right,50.38,22.0
20,right,48.51,22.0
30,right,46.73,22.0
40,right,44.82,21.8
50,right,43.43,21.9
60,right,42.33,21.9
70,right,41.22,21.8
80,right,40.07,21.9
90,right,39.21,21.8
100,right,38.49,21.8
111,right,37.73,21.7
121,right,37.01,21.8
131,right,36.72,21.7
141,right,36.29,21.8
151,right,35.52,21.8
161,right,35.42,21.8
171,right,35.14,21.8
181,right,34.71,21.6
191,right,34.56,21.8
201,right,34.37,21.7
211,right,33.94,21.8
221,right,33.65,21.7
231,right,33.56,21.8
241,right,33.32,21.7
251,right,32.79,21.7
261,right,32.84,21.8
271,right,32.69,21.6
281,right,32.65,21.8
292,right,32.45,21.7
302,right,32.45,21.7
312,right,32.65,21.7
322,right,32.31,21.7
332,right,32.07,21.7
342,right,31.97,21.7
352,right,31.78,21.7
362,right,31.83,21.6
372,right,31.83,21.7
382,right,31.78,21.7
392,right,31.26,21.7
402,right,31.3,21.8
412,right,31.21,21.7
422,right,31.21,21.7
432,right,31.4,21.6
442,right,31.3,21.7
452,right,31.21,21.7
462,right,31.21,21.7
472,right,31.21,21.6
483,right,31.21,21.7
493,right,31.21,21.7
503,right,30.92,21.6
513,right,30.92,21.7
523,right,30.92,21.6
533,right,30.87,21.7
540,right,30.78,21.7
