side,cam,n,mean_slope_per_C,mean_intercept,r2_mean,mean_pct_per_C,std_slope_per_C,std_intercept,r2_std
left,0,19161,2.817570987095858,561.2580863574723,0.21286521167677952,0.3620627987372113,0.3318341821709506,112.12808369277622,0.2532382406027963
left,1,19161,0.1246444983124729,276.5269189044192,0.44468883428406025,0.04331781179647427,0.04579963972249533,32.634624517784715,0.6177652667274139
left,2,19161,0.02406512026613249,146.059036802869,0.7179285443075367,0.01620315110256862,0.10748576485770585,-2.6566542859590214,0.808776997694306
left,3,11837,0.008958869957516371,129.6758395914793,0.8373547494658569,0.006860441787433753,0.08041278965861776,-4.63036544266859,0.8063649481314178
left,4,17804,0.008958966311116654,129.9473676507605,0.9105115934495775,0.006844692586090263,0.0809617677277756,-4.630013005172783,0.8378415680629699
left,5,6555,0.023343831447379778,148.09390912998597,0.6970243814929671,0.015523428515290438,0.1132064816510951,-2.294619402098775,0.7448562203665504
left,6,19161,0.11176300256278686,287.84678513388013,0.4341944675926086,0.03728210030858354,0.1117814595625896,30.182780572843463,0.7939738843138355
left,7,19161,0.27081171365485934,695.3117161330732,0.2509541751690645,0.0375455527269019,0.24277210713876374,114.58105967500828,0.7711525571406733
right,0,19156,0.07333354697509753,991.6085859327676,0.15590024489134335,0.007352175640271286,-0.098611586978525,79.48197218735717,0.14475346190918115
right,1,19156,0.19810516471620934,386.39166960736395,0.2116950712060065,0.049038171173137086,0.04443701459798893,53.25367889855698,0.22659822262281104
right,2,19156,0.0313419490335811,157.57718891019746,0.38757736675344,0.0195166321267231,0.04804356267543994,5.4831783759151165,0.7756919356412783
right,3,19156,0.007371897790018143,130.3526210468951,0.7518042343605065,0.005623006532177756,0.07143499211506812,-3.798137151174943,0.7871669964758873
right,4,19156,0.004456897588339021,130.6617476468187,0.4006102794606895,0.0034006314801087265,0.03278357919934015,-0.6575861011961516,0.7832720673710509
right,5,19156,0.09602167777071614,149.8033680594081,0.14522431490700316,0.06077629913008467,0.041240849685354394,4.65913402250738,0.26394529846229897
right,6,19156,0.183023733920889,374.42420567251395,0.10738791106392698,0.04718271809772128,0.035754191769899614,52.76487850145893,0.07642165560556358
right,7,19156,0.12730867343238392,976.8158876708793,0.05528019175460319,0.012923250851053716,-0.12003685573587888,91.61343855926023,0.059655117157468296
