side,cam,wait_min,T_start,T_end_prev
left,0,5.0004333333333335,46.75,81.62890625
left,0,10.00055,42.73046875,82.3125
left,0,15.000566666666666,40.15234375,82.08203125
left,0,20.00048333333333,36.96875,81.85546875
left,0,25.000600000000002,36.05859375,81.78125
left,0,30.00075,36.05859375,81.78125
left,0,2.00055,54.484375,82.08203125
left,0,4.000566666666667,48.71875,80.640625
left,0,8.000733333333333,43.71484375,81.25
left,1,5.0004333333333335,48.265625,95.578125
left,1,10.00055,43.8671875,96.4140625
left,1,15.000566666666666,39.2421875,96.1875
left,1,20.00048333333333,37.7265625,95.8828125
left,1,25.000600000000002,36.890625,95.73046875
left,1,30.00075,34.921875,95.65625
left,1,2.00055,56.53125,95.8828125
left,1,4.000566666666667,50.23828125,94.3671875
left,1,8.000733333333333,44.9296875,95.125
left,2,5.0004333333333335,49.6953125,107.078125
left,2,10.00055,44.94921875,107.15234375
left,2,15.000566666666666,39.98046875,106.92578125
left,2,20.00048333333333,38.3984375,106.77734375
left,2,25.000600000000002,37.41796875,106.625
left,2,30.00075,35.38671875,106.625
left,2,2.00055,58.50390625,106.77734375
left,2,4.000566666666667,51.42578125,104.44140625
left,2,8.000733333333333,46.078125,105.49609375
left,3,5.0004333333333335,50.72265625,116.25390625
left,3,10.00055,43.55859375,116.25390625
left,3,15.000566666666666,40.46484375,116.25390625
left,3,20.00048333333333,38.80859375,116.17578125
left,3,25.000600000000002,37.75,116.17578125
left,3,30.00075,35.71484375,116.25390625
left,3,2.00055,59.546875,116.17578125
left,3,4.000566666666667,52.3046875,116.17578125
left,3,8.000733333333333,46.7265625,116.1015625
left,4,5.0004333333333335,51.52734375,112.390625
left,4,10.00055,44.125,113.37109375
left,4,15.000566666666666,40.8046875,113.14453125
left,4,20.00048333333333,38.9921875,112.84375
left,4,25.000600000000002,35.89453125,112.46484375
left,4,30.00075,35.66796875,112.3125
left,4,2.00055,60.96484375,112.5390625
left,4,4.000566666666667,53.0390625,114.3515625
left,4,8.000733333333333,47.22265625,114.3515625
left,5,5.0004333333333335,51.77734375,115.01171875
left,5,10.00055,44.71875,114.9375
left,5,15.000566666666666,41.33984375,115.01171875
left,5,20.00048333333333,39.53515625,115.01171875
left,5,25.000600000000002,36.60546875,115.01171875
left,5,30.00075,36.45703125,115.01171875
left,5,2.00055,59.58984375,114.9375
left,5,4.000566666666667,53.4296875,114.78515625
left,5,8.000733333333333,47.5703125,114.9375
left,6,5.0004333333333335,49.8515625,111.66796875
left,6,10.00055,44.8515625,113.7109375
left,6,15.000566666666666,41.66796875,113.33203125
left,6,20.00048333333333,37.87890625,112.7265625
left,6,25.000600000000002,36.89453125,112.42578125
left,6,30.00075,36.74609375,112.1953125
left,6,2.00055,59.546875,112.42578125
left,6,4.000566666666667,51.59375,106.7421875
left,6,8.000733333333333,47.8046875,108.03125
left,7,5.0004333333333335,48.3046875,101.63671875
left,7,10.00055,43.6796875,103.609375
left,7,15.000566666666666,40.5703125,103.3046875
left,7,20.00048333333333,37.00390625,102.84765625
left,7,25.000600000000002,36.09375,102.46875
left,7,30.00075,36.015625,102.31640625
left,7,2.00055,56.80078125,102.46875
left,7,4.000566666666667,50.203125,99.73828125
left,7,8.000733333333333,44.7421875,100.7265625
right,0,5.0004333333333335,39.1328125,82.859375
right,0,10.00055,36.7109375,84.98046875
right,0,15.000566666666666,33.4609375,84.67578125
right,0,20.00048333333333,32.32421875,84.22265625
right,0,25.000600000000002,31.4921875,83.921875
right,0,30.00075,31.87109375,83.46484375
right,0,2.00055,43.75,83.390625
right,0,4.000566666666667,41.40234375,85.359375
right,0,8.000733333333333,37.015625,85.66015625
right,1,5.0004333333333335,38.44921875,93.12109375
right,1,10.00055,35.57421875,95.2421875
right,1,15.000566666666666,33.6796875,94.7109375
right,1,20.00048333333333,32.1640625,94.33203125
right,1,25.000600000000002,31.55859375,94.10546875
right,1,30.00075,31.7109375,94.10546875
right,1,2.00055,45.71875,93.87890625
right,1,4.000566666666667,42.46484375,96.1484375
right,1,8.000733333333333,37.390625,96.30078125
right,2,5.0004333333333335,40.23046875,101.7421875
right,2,10.00055,36.59375,104.62109375
right,2,15.000566666666666,34.546875,104.2421875
right,2,20.00048333333333,32.73046875,103.5625
right,2,25.000600000000002,32.125,103.03125
right,2,30.00075,32.42578125,102.7265625
right,2,2.00055,47.12109375,102.34765625
right,2,4.000566666666667,43.109375,105.453125
right,2,8.000733333333333,38.7890625,105.83203125
right,3,5.0004333333333335,42.87890625,108.546875
right,3,10.00055,38.42578125,112.546875
right,3,15.000566666666666,35.6328125,112.09375
right,3,20.00048333333333,33.59765625,111.11328125
right,3,25.000600000000002,32.390625,110.43359375
right,3,30.00075,32.6171875,109.90625
right,3,2.00055,51.109375,109.52734375
right,3,4.000566666666667,46.4296875,114.28125
right,3,8.000733333333333,40.91796875,114.5859375
right,4,5.0004333333333335,40.99609375,95.015625
right,4,10.00055,37.3046875,97.953125
right,4,15.000566666666666,34.7421875,97.5
right,4,20.00048333333333,33.0078125,96.82421875
