scan,side,cam,frozen_temp,temp_glitches,stale_start_frames,T_start,T_end,tau_T_s,T_inf,rmse_T,tau2_fast_s,tau2_slow_s,rmse_T2,mean_light,mean_dark,tau_mean_s,mean0,mean_inf,tau_std_s,flicker_rms,flicker_pct
1,left,0,False,0,40,36.81640625,81.62890625,311.7203106904821,81.88778519428261,1.1740245541511198,12.170080083854996,383.8219800528376,0.19957445399276927,757.961591349418,757.9190364197531,156.39361940255532,747.6750054804671,759.4928946757148,159.03964538427908,0.557658840045632,0.07357349586181776
1,left,1,False,0,5,35.75390625,95.578125,280.36479967941114,95.65715323252213,1.8975836195388456,15.900469764251987,383.8219800528376,0.24266724041145563,289.4557919315374,289.42943433333335,155.78478848923538,286.1041548220764,289.952249536081,346.66897282754394,0.14489980484210654,0.050059390373635534
1,left,2,False,0,10,36.36328125,107.078125,250.0763747510231,109.92813552373154,2.6156605042949903,20.799358734031717,362.1896016624053,1.0654169881938784,148.77668411728072,148.77127579012344,280.1784413194125,147.92829795953264,149.0296472792363,964.841596894144,0.02790783956741876,0.01875820780184817
1,left,3,False,0,15,36.62109375,116.25390625,283.220972243363,115.18215304653565,2.9358004441592613,25.410105439025152,532.0637798981422,0.28871071468236525,130.6230366693321,130.62095031428572,2298.595264851272,130.38534192088852,131.59840228471177,2998.7468488232166,0.018973824175606245,0.014525633961211492
1,left,4,False,0,20,36.80078125,112.390625,221.98852822831861,111.69709222757703,2.3135675934138793,19.448671813922548,298.82857156525324,0.9356316059284631,130.87878647330257,130.88102402469136,408.93632896029743,130.59908106438309,131.01191098714654,764.2255807946435,0.01905016607886544,0.014555579702560432
1,left,5,False,0,25,37.359375,115.01171875,158.05453627312576,111.92242393501078,3.1248296683079757,29.027056039454493,689.6639922811787,0.3657050611745483,150.7459495262243,150.73813575000003,569.2583802514162,150.03141605935195,151.9177974418984,2998.7468488232166,0.029054737153162206,0.019273975350235027
1,left,6,False,0,30,37.8046875,111.66796875,142.06874511223234,110.05704229649125,2.464698443833864,17.004738309664546,190.2104633858983,1.6364218732272602,302.11437522544986,302.0789669382716,118.91873665304203,296.44978516868315,302.73353549897917,250.4107942302402,0.1553279165050209,0.05141361326785889
1,left,7,False,0,35,36.77734375,101.63671875,231.82156028303848,100.35807859465768,2.12078141069191,18.185696980492715,338.6694170345718,0.4556441906422102,729.3439906979582,729.2164053703704,115.82616467402582,717.2412299827078,730.6272329870417,439.71678442103615,0.5419719409900362,0.07430950935393145
1,right,0,False,0,33,32.25,82.859375,149.45992523537018,80.45988504433498,2.1943126449113395,25.37949617194652,527.2269014148859,0.27990531303114186,999.5648492180811,999.5352900987655,90.55277110026492,996.8819700918626,999.7835390822298,92.34356235247327,0.08802940612727168,0.008806772886835056
1,right,1,False,0,4,32.1640625,93.12109375,136.6769518769312,90.12998536395169,2.4846977713068386,27.142071727047888,438.9851574943069,0.3673827507820078,409.86555801193566,409.78740587654323,124.9917803525005,401.6265525694373,410.82055596850284,122.6331758554221,0.19623089888659967,0.04787689403286851
1,right,2,False,0,9,32.046875,101.7421875,163.60472383080975,98.62255284773676,2.7830101353009407,31.00555560221785,465.20427861516106,0.3982113876948815,161.27110668858694,161.2603256419753,177.44806648399367,160.06199852464806,161.48025633085612,832.30640169145,0.03077388681084246,0.01908208323408269
1,right,3,False,0,13,32.5390625,108.546875,209.6290170001755,105.49480033424776,3.041509885392946,31.00555560221785,527.2269014148859,0.39288536136469643,131.14666473601588,131.14696760493828,602.8894864504772,130.96312806338028,131.2869680678705,1933.5484217130625,0.018587490202505875,0.014173055975095128
1,right,4,False,0,17,31.578125,95.015625,208.13613612950365,92.73600601826999,2.6002817121120727,25.37949617194652,497.5121575446889,0.2872904029125541,131.05664400382526,131.05696362962962,464.8736981265327,130.75928170195522,131.22223147293906,1521.4719287707999,0.018228025086901082,0.013908508969884081
1,right,5,False,0,21,31.01953125,89.22265625,156.56896706209704,86.7451373837199,2.449635614129861,25.37949617194652,465.20427861516106,0.3012686795600776,156.18028712596157,156.2148974197531,2998.7468488232166,153.1400814670899,170.41934141698346,2998.7468488232166,0.02815452130643486,0.018026936577295344
1,right,6,False,0,25,30.15234375,76.51171875,152.7880671884281,74.68435482747427,1.958654354947922,20.774303618535182,434.99443693979117,0.22833495007931967,391.6438100531146,391.5790317037037,66.99751651040182,386.3111009774346,391.95850014984086,55.361815632705216,0.18385659221162165,0.046944848224892685
1,right,7,False,0,29,29.953125,67.609375,185.28954806177518,66.06258242033893,1.6394635752942839,19.448671813922548,532.0637798981422,0.23666736859932172,983.382637488796,983.4357813456792,2199.7957744442338,974.5103117587119,1013.1993827159946,1516.9977972139172,0.1475212202189646,0.015001405820594971
2,left,0,False,0,15,46.75,82.3125,162.6451975984063,81.91372270714685,1.0365449323506564,10.653612881437324,215.5699718114512,0.1706445649903415,790.2994624857329,790.5437918148149,2998.7468488232166,712.2729267585277,1155.4527229683943,2998.7468488232166,0.5455920834595861,0.06903611976952795
2,left,1,False,0,20,48.265625,96.4140625,132.04699822736012,95.79977755422237,1.422096354742088,13.919172949902341,190.2104633858983,0.2133502679775522,288.2021705861572,288.1953837901234,1441.1882724497448,285.7980781542414,293.2663443743465,543.9676019494041,0.14486759064444593,0.050265960991830276
2,left,2,False,0,25,49.6953125,107.15234375,91.58164442548409,108.01433069291588,1.9019899811196117,12.199453548853974,114.24910971199188,1.4903777197336274,148.58423025231517,148.57842641975307,124.25263367170632,147.7179992802021,148.68363979859592,160.34986693576602,0.02815854908221358,0.018951236638233233
