scan,side,cam,neg_ts_rows_scanwide,frozen_temp,stale_start_frames,stale_start_s,temp_glitches,midscan_gaps,midscan_missing_frames,teardown_gaps,dupe_dt,temp_steps_gt1C_body,max_temp_step_body_C,smoothed_mean_steps_gt2,max_smoothed_mean_step
1,left,0,0,False,40,1.0,0,14,70,1,0,6,1.74609375,0,0.14542200000005323
1,left,1,0,False,5,0.125,0,14,70,1,0,10,2.046875,0,0.03492199999999457
1,left,2,0,False,10,0.25,0,14,70,1,0,14,1.9609375,0,0.007912000000004582
1,left,3,0,False,15,0.375,0,13,69,0,0,13,2.03515625,0,0.004331000000007634
1,left,4,0,False,20,0.5,0,14,70,1,0,13,1.890625,0,0.004687999999987369
1,left,5,0,False,25,0.625,0,11,60,0,0,14,1.953125,0,0.006579999999985375
1,left,6,0,False,30,0.75,0,14,70,1,0,15,2.046875,0,0.04014799999998786
1,left,7,0,False,35,0.875,0,14,70,1,0,12,2.125,0,0.17981399999996484
1,right,0,0,False,33,0.8249999999999993,0,18,81,1,0,10,1.515625,0,0.033649999999965985
1,right,1,0,False,4,0.1000000000000014,0,18,81,1,0,10,2.12109375,0,0.09111100000001215
1,right,2,0,False,9,0.2250000000000014,0,18,81,1,0,13,1.81640625,0,0.0090889999999888
1,right,3,0,False,13,0.3249999999999993,0,18,81,1,0,12,1.66015625,0,0.0045670000000086475
1,right,4,0,False,17,0.4250000000000007,0,18,81,1,0,11,1.65625,0,0.003849000000002434
1,right,5,0,False,21,0.5249999999999986,0,18,81,1,0,10,1.75390625,0,0.017903999999987263
1,right,6,0,False,25,0.625,0,18,81,1,0,7,1.74609375,0,0.06135299999999688
1,right,7,0,False,29,0.7250000000000014,0,18,81,1,0,7,1.4375,0,0.07467200000007779
2,left,0,0,False,15,0.375,0,15,89,1,0,8,1.74609375,0,0.15239299999996092
2,left,1,0,False,20,0.5,0,15,89,1,0,9,1.89453125,0,0.04255000000000564
2,left,2,0,False,25,0.625,0,15,89,1,0,12,1.8046875,0,0.0071730000000229666
2,left,3,0,False,30,0.75,0,13,81,0,0,13,1.8828125,0,0.0033679999999947086
2,left,4,0,False,35,0.875,0,15,89,1,0,11,1.8125,0,0.004194999999981519
2,left,5,0,False,40,1.0,0,8,62,0,0,14,1.87890625,0,0.006349999999997635
2,left,6,0,False,5,0.125,0,15,89,1,0,15,2.04296875,0,0.041340999999988526
2,left,7,0,False,10,0.25,0,15,89,1,0,10,1.89453125,0,0.1457430000000386
2,right,0,0,False,4,0.1000000000001364,0,20,113,1,0,9,1.5859375,0,0.029178000000001703
2,right,1,0,False,9,0.2250000000001364,0,20,113,1,0,12,1.6640625,0,0.061057000000005246
2,right,2,0,False,13,0.3250000000000455,0,20,113,1,0,11,1.59375,0,0.007699000000002343
2,right,3,0,False,17,0.4250000000001819,0,20,113,1,0,12,1.58203125,0,0.0034840000000144755
2,right,4,0,False,21,0.525000000000091,0,20,113,1,0,11,1.5078125,0,0.0035200000000088494
2,right,5,0,False,25,0.625,0,20,113,1,0,9,1.6796875,0,0.01504299999999148
2,right,6,0,False,29,0.7250000000001364,0,20,113,1,0,7,1.51953125,0,0.05765999999999849
2,right,7,0,False,33,0.8250000000000455,0,20,113,1,0,8,1.51171875,0,0.04747199999997065
3,left,0,0,False,30,0.75,0,14,43,1,0,7,1.8203125,0,0.18998000000010506
3,left,1,0,False,35,0.875,0,14,43,1,0,10,1.89453125,0,0.0397310000000175
3,left,2,0,False,40,1.0,0,14,43,1,0,13,1.8828125,0,0.006647999999984222
3,left,3,0,False,5,0.125,0,8,30,0,0,14,2.03515625,0,0.0037560000000098626
3,left,4,0,False,10,0.25,0,14,43,1,0,12,1.8125,0,0.0037219999999820175
3,left,5,0,False,15,0.375,0,6,26,0,0,14,1.953125,0,0.006275999999985515
3,left,6,0,False,20,0.5,0,14,43,1,0,15,1.89453125,0,0.04654700000003231
3,left,7,0,False,25,0.625,0,14,43,1,0,12,1.8984375,0,0.18085899999994126
3,right,0,0,False,4,0.1000000000003638,0,20,62,1,0,9,1.6640625,0,0.03459399999997004
3,right,1,0,False,9,0.2250000000003638,0,20,62,1,0,11,1.58984375,0,0.06251299999996718
3,right,2,0,False,13,0.3250000000002728,0,20,62,1,0,11,1.81640625,0,0.009517999999985705
3,right,3,0,False,17,0.4250000000001819,0,20,62,1,0,12,1.5859375,0,0.004210000000000491
3,right,4,0,False,21,0.525000000000091,0,20,62,1,0,10,1.58203125,0,0.003982000000007702
3,right,5,0,False,25,0.625,0,20,62,1,0,10,1.83203125,0,0.017713999999983798
3,right,6,0,False,29,0.7250000000003638,0,20,62,1,0,8,1.671875,0,0.06774599999999964
3,right,7,0,False,33,0.8250000000002728,0,20,62,1,0,6,1.4375,0,0.044301000000018576
4,left,0,0,False,40,1.0,0,17,69,1,0,7,1.8203125,0,0.1937399999999343
4,left,1,0,False,5,0.125,0,17,69,1,0,11,1.97265625,0,0.055019999999956326
4,left,2,0,False,10,0.25,0,17,69,1,0,13,1.8828125,0,0.008628000000015845
4,left,3,0,False,15,0.375,0,15,66,0,0,14,1.88671875,0,0.003878000000014481
4,left,4,0,False,20,0.5,0,17,69,1,0,13,1.8125,0,0.005699999999990268
4,left,5,0,False,25,0.625,0,11,53,0,0,14,1.953125,0,0.006177999999977146
4,left,6,0,False,30,0.75,0,17,69,1,0,15,2.046875,0,0.04501199999998562
4,left,7,0,False,35,0.875,0,17,69,1,0,11,1.97265625,0,0.15251399999999649
4,right,0,0,False,9,0.2250000000003638,0,20,80,1,0,8,1.5859375,0,0.04431299999998828
4,right,1,0,False,13,0.3249999999998181,0,20,80,1,0,11,1.8203125,0,0.0645420000000172
