scan,side,cam,neg_ts_rows_scanwide,frozen_temp,stale_start_frames,stale_start_s,temp_glitches,midscan_gaps,midscan_missing_frames,teardown_gaps,dupe_dt,temp_steps_gt1C_body,max_temp_step_body_C,smoothed_mean_steps_gt2,max_smoothed_mean_step
4,right,2,0,False,17,0.4250000000001819,0,20,80,1,0,12,1.7421875,0,0.00918500000000222
4,right,3,0,False,21,0.5249999999996362,0,20,80,1,0,13,1.5859375,0,0.004063000000002148
4,right,4,0,False,25,0.625,0,20,80,1,0,9,1.734375,0,0.003845000000012533
4,right,5,0,False,29,0.7250000000003638,0,20,80,1,0,11,1.6015625,0,0.01870800000000372
4,right,6,0,False,33,0.8249999999998181,0,20,80,1,0,8,1.74609375,0,0.055779000000029555
4,right,7,0,False,4,0.1000000000003638,0,20,80,1,0,7,1.4375,0,0.05048099999999067
5,left,0,0,False,15,0.375,0,13,40,1,0,7,1.8984375,0,0.1728410000000622
5,left,1,0,False,20,0.5,0,13,40,1,0,9,1.97265625,0,0.044216000000005806
5,left,2,0,False,25,0.625,0,13,40,1,0,13,1.95703125,0,0.005869999999987385
5,left,3,0,False,30,0.75,0,8,29,0,0,13,1.9609375,0,0.004418999999984408
5,left,4,0,False,35,0.875,0,13,40,1,0,12,1.88671875,0,0.003771000000000413
5,left,5,0,False,40,1.0,0,4,21,0,0,14,1.953125,0,0.006530000000026348
5,left,6,0,False,5,0.125,0,13,40,1,0,16,2.046875,0,0.043020000000012715
5,left,7,0,False,10,0.25,0,13,40,1,0,13,2.046875,0,0.13997599999993326
5,right,0,0,False,9,0.2249999999994543,0,17,64,1,0,9,1.58984375,0,0.030054000000063752
5,right,1,0,False,13,0.3249999999998181,0,17,64,1,0,11,1.66796875,0,0.08634100000000444
5,right,2,0,False,17,0.4249999999992724,0,17,64,1,0,12,1.7421875,0,0.007929999999987558
5,right,3,0,False,21,0.5249999999996362,0,17,64,1,0,12,1.66015625,0,0.004012000000017224
5,right,4,0,False,25,0.625,0,17,64,1,0,11,1.65625,0,0.004367000000002008
5,right,5,0,False,29,0.7249999999994543,0,17,64,1,0,10,1.67578125,0,0.014050999999994929
5,right,6,0,False,33,0.8249999999998181,0,17,64,1,0,9,1.671875,0,0.059573999999997795
5,right,7,0,False,4,0.0999999999994543,0,17,64,1,0,7,1.51171875,0,0.04402900000002319
6,left,0,0,False,25,0.625,0,2,12,1,0,6,1.74609375,0,0.16394100000002254
6,left,1,0,False,30,0.75,0,2,12,1,0,10,1.96875,0,0.04174199999999928
6,left,2,0,False,35,0.875,0,2,12,1,0,13,1.9609375,0,0.006947999999994181
6,left,3,0,False,40,1.0,0,2,12,0,0,13,1.95703125,0,0.004376999999976761
6,left,4,0,False,5,0.125,0,2,12,1,0,14,1.9609375,0,0.0053920000000005075
6,left,5,0,False,10,0.25,0,2,12,0,0,14,2.1015625,0,0.00691099999997391
6,left,6,0,False,15,0.375,0,2,12,1,0,15,2.046875,0,0.04443000000003394
6,left,7,0,False,20,0.5,0,2,12,1,0,12,2.125,0,0.16587700000002314
6,right,0,0,False,8,0.2000000000007276,0,2,12,1,0,10,1.6640625,0,0.029850000000010368
6,right,1,0,False,12,0.2999999999992724,0,2,12,1,0,11,1.6640625,0,0.0676939999999604
6,right,2,0,False,16,0.3999999999996362,0,2,12,1,0,12,1.81640625,0,0.007644999999996571
6,right,3,0,False,20,0.5,0,2,12,1,0,12,1.734375,0,0.004799999999988813
6,right,4,0,False,24,0.6000000000003638,0,2,12,1,0,10,1.80859375,0,0.003937000000007629
6,right,5,0,False,28,0.7000000000007276,0,2,12,1,0,11,1.83203125,0,0.014044000000012602
6,right,6,0,False,32,0.7999999999992724,0,2,12,1,0,9,1.75,0,0.09020199999997658
6,right,7,0,False,4,0.1000000000003638,0,2,12,1,0,6,1.7421875,0,0.044239000000061424
7,left,0,0,False,40,1.0,0,0,0,1,0,6,1.74609375,0,0.17027599999994436
7,left,1,0,False,5,0.125,0,0,0,1,0,10,1.97265625,0,0.05497499999995625
7,left,2,0,False,10,0.25,0,0,0,1,0,12,2.03515625,0,0.007514000000014676
7,left,3,0,False,15,0.375,0,0,0,0,0,13,2.109375,0,0.004864999999995234
7,left,4,0,False,20,0.5,0,0,0,1,0,14,2.0390625,0,0.003910999999988007
7,left,5,0,False,25,0.625,0,0,0,0,0,15,1.953125,0,0.0070279999999911524
7,left,6,0,False,30,0.75,0,0,0,1,0,15,2.046875,0,0.04344200000002729
7,left,7,0,False,35,0.875,0,0,0,1,0,12,2.12109375,0,0.1485530000001063
7,right,0,0,False,25,0.625,0,0,0,1,0,9,1.515625,0,0.033328999999980624
7,right,1,0,False,29,0.7250000000003638,0,0,0,1,0,10,1.58984375,0,0.08397000000002208
7,right,2,0,False,33,0.8249999999989086,0,0,0,1,0,11,1.7421875,0,0.010092000000014423
7,right,3,0,False,4,0.1000000000003638,0,0,0,1,0,12,1.66015625,0,0.004617999999993572
7,right,4,0,False,9,0.2250000000003638,0,0,0,1,0,11,1.73046875,0,0.004475999999982605
7,right,5,0,False,13,0.3249999999989086,0,0,0,1,0,11,1.75390625,0,0.012526000000008253
7,right,6,0,False,17,0.4249999999992724,0,0,0,1,0,8,1.59375,0,0.07011199999999462
7,right,7,0,False,21,0.5249999999996362,0,0,0,1,0,6,1.4375,0,0.03873999999996158
8,left,0,0,False,20,0.5,0,2,6,1,0,5,1.8203125,0,0.15161000000000513
8,left,1,0,False,25,0.625,0,2,6,1,0,10,1.8203125,0,0.03958000000000084
8,left,2,0,False,30,0.75,0,2,6,1,0,10,1.8828125,0,0.007125000000002046
8,left,3,0,False,35,0.875,0,2,6,0,0,11,1.88671875,0,0.0035469999999975244
8,left,4,0,False,40,1.0,0,2,6,0,0,10,1.734375,0,0.0037579999999763913
8,left,5,0,False,5,0.125,0,2,6,0,0,13,1.8046875,0,0.004675999999989244
8,left,6,0,False,10,0.25,0,2,6,1,0,12,1.96875,0,0.05410299999999779
8,left,7,0,False,15,0.375,0,2,6,1,0,10,1.8984375,0,0.16541799999993145
8,right,0,0,False,33,0.8250000000007276,0,2,5,1,0,9,1.4375,0,0.037550000000010186
8,right,1,0,False,4,0.1000000000003638,0,2,5,1,0,11,1.515625,0,0.07554999999996426
8,right,2,0,False,9,0.2250000000003638,0,2,5,1,0,12,1.66796875,0,0.011186000000009244
8,right,3,0,False,13,0.3250000000007276,0,2,5,1,0,10,1.5859375,0,0.004375000000010232
8,right,4,0,False,17,0.4250000000010914,0,2,5,1,0,10,1.5078125,0,0.0038059999999973115
8,right,5,0,False,21,0.5249999999996362,0,2,5,1,0,10,1.6015625,0,0.008533999999997377
8,right,6,0,False,25,0.625,0,2,5,1,0,8,1.5234375,0,0.06012399999997342
8,right,7,0,False,29,0.7250000000003638,0,2,5,1,0,6,1.51171875,0,0.05040499999995518
9,left,0,0,False,15,0.375,0,2,7,1,0,7,1.81640625,3,10.29924200000005
9,left,1,0,False,20,0.5,0,2,7,1,0,10,1.8984375,0,0.11658799999997882
9,left,2,0,False,25,0.625,0,2,7,1,0,12,1.95703125,0,0.008023000000008551
9,left,3,0,False,30,0.75,0,2,7,0,0,12,1.88671875,0,0.003680000000002792
9,left,4,0,False,35,0.875,0,2,7,0,0,14,1.890625,0,0.0035160000000189484
9,left,5,0,False,40,1.0,0,1,6,0,0,13,1.87890625,0,0.005794000000008737
9,left,6,0,False,5,0.125,0,2,7,1,0,15,2.12109375,0,0.045467000000030566
9,left,7,0,False,10,0.25,0,2,7,1,0,11,1.8984375,0,0.21380299999998442
9,right,0,0,False,33,0.8250000000007276,0,3,10,1,0,9,1.58984375,0,0.04170099999998911
9,right,1,0,False,4,0.0999999999985448,0,3,10,1,0,12,1.58984375,0,0.0781109999999785
9,right,2,0,False,9,0.2249999999985448,0,3,10,1,0,12,1.58984375,0,0.007980000000003429
9,right,3,0,False,13,0.3250000000007276,0,3,10,1,0,13,1.58203125,0,0.003917999999998756
9,right,4,0,False,17,0.4249999999992724,0,3,10,1,0,11,1.58203125,0,0.0034600000000182263
9,right,5,0,False,21,0.5249999999978172,0,3,10,1,0,11,1.6015625,0,0.009951999999998407
9,right,6,0,False,25,0.625,0,3,10,1,0,8,1.671875,0,0.5161569999999642
9,right,7,0,False,29,0.7249999999985448,0,3,10,1,0,6,1.4375,0,0.21857199999999466
10,left,0,0,False,10,0.25,0,1,6,1,0,7,1.74609375,3,14.18264499999998
10,left,1,0,False,15,0.375,0,1,6,1,0,10,1.89453125,0,0.08348399999999856
10,left,2,0,False,20,0.5,0,1,6,1,0,13,1.8828125,0,0.007770999999991091
10,left,3,0,False,25,0.625,0,1,6,0,0,12,1.8125,0,0.0032339999999919655
10,left,4,0,False,30,0.75,0,1,6,0,0,12,1.8125,0,0.004718999999994367
10,left,5,0,False,35,0.875,0,1,6,0,0,12,1.8046875,0,0.006135999999997921
10,left,6,0,False,40,1.0,0,1,6,1,0,14,1.96875,0,0.04812099999998054
10,left,7,0,False,5,0.125,0,1,6,1,0,11,1.8984375,0,0.15137400000003254
10,right,0,0,False,9,0.2249999999985448,0,1,6,1,0,10,1.51171875,0,0.032663999999954285
10,right,1,0,False,13,0.3250000000007276,0,1,6,1,0,10,1.6640625,0,0.07157100000000582
10,right,2,0,False,17,0.4249999999992724,0,1,6,1,0,11,1.66796875,0,0.0076599999999871216
10,right,3,0,False,21,0.5250000000014552,0,1,6,1,0,11,1.5859375,0,0.003967000000017151
10,right,4,0,False,25,0.625,0,1,6,1,0,10,1.58203125,0,0.004020999999994501
10,right,5,0,False,29,0.7249999999985448,0,1,6,1,0,10,1.60546875,0,0.008242999999993117
10,right,6,0,False,33,0.8250000000007276,0,1,6,1,0,8,1.59765625,0,0.05483299999997371
10,right,7,0,False,4,0.0999999999985448,0,1,6,1,0,7,1.5859375,0,0.04008299999998144
