t_s,side,cam,frames,silent_s,temp_c,temp_max_c
5.0,right,0,183,0.0,36.20199966430664,36.20199966430664
5.0,right,1,183,0.0,39.15999984741211,39.15999984741211
5.0,right,2,183,0.0,42.01300048828125,42.01300048828125
5.0,right,3,183,0.0,43.16299819946289,43.16299819946289
5.0,right,4,182,0.0,43.16299819946289,43.16299819946289
5.0,right,5,182,0.0,42.19599914550781,42.19599914550781
5.0,right,6,182,0.0,42.02299880981445,42.02299880981445
5.0,right,7,182,0.0,41.08300018310547,41.08300018310547
10.0,right,0,384,0.0,42.02199935913086,42.02199935913086
10.0,right,1,384,0.0,46.05400085449219,46.05400085449219
10.0,right,2,384,0.0,49.1510009765625,49.1510009765625
10.0,right,3,384,0.0,51.05099868774414,51.05099868774414
10.0,right,4,384,0.0,50.194000244140625,50.194000244140625
10.0,right,5,384,0.0,49.21099853515625,49.21099853515625
10.0,right,6,383,0.0,50.237998962402344,50.237998962402344
10.0,right,7,383,0.0,49.19200134277344,49.19200134277344
15.1,right,0,585,0.0,45.14400100708008,45.14400100708008
15.1,right,1,585,0.0,51.090999603271484,51.090999603271484
15.1,right,2,585,0.0,56.07699966430664,56.07699966430664
15.1,right,3,585,0.0,57.10200119018555,57.10200119018555
15.1,right,4,585,0.0,56.112998962402344,56.112998962402344
15.1,right,5,585,0.0,55.117000579833984,55.117000579833984
15.1,right,6,585,0.0,56.15299987792969,56.15299987792969
15.1,right,7,585,0.0,55.0369987487793,55.0369987487793
20.2,right,0,790,0.0,47.077999114990234,47.077999114990234
20.2,right,1,790,0.0,54.137001037597656,54.137001037597656
20.2,right,2,790,0.0,60.17300033569336,60.17300033569336
20.2,right,3,790,0.0,62.255001068115234,62.255001068115234
20.2,right,4,790,0.0,61.17100143432617,61.17100143432617
20.2,right,5,790,0.0,60.125,60.125
20.2,right,6,790,0.0,61.05400085449219,61.05400085449219
20.2,right,7,790,0.0,59.042999267578125,59.042999267578125
25.2,right,0,990,0.0,48.13199996948242,48.13199996948242
25.2,right,1,990,0.0,56.22600173950195,56.22600173950195
25.2,right,2,990,0.0,63.255001068115234,63.255001068115234
25.2,right,3,990,0.0,66.16000366210938,66.16000366210938
25.2,right,4,990,0.0,65.0199966430664,65.0199966430664
25.2,right,5,990,0.0,63.202999114990234,63.202999114990234
25.2,right,6,990,0.0,65.03600311279297,65.03600311279297
25.2,right,7,990,0.0,62.16899871826172,62.16899871826172
30.2,right,0,1192,0.0,49.108001708984375,49.108001708984375
30.2,right,1,1192,0.0,58.159000396728516,58.159000396728516
30.2,right,2,1191,0.0,66.20099639892578,66.20099639892578
30.2,right,3,1191,0.0,69.2239990234375,69.2239990234375
30.2,right,4,1191,0.0,67.2249984741211,67.2249984741211
30.2,right,5,1191,0.0,66.14600372314453,66.14600372314453
30.2,right,6,1191,0.0,68.02200317382812,68.02200317382812
30.2,right,7,1191,0.0,65.02300262451172,65.02300262451172
35.3,right,0,1395,0.0,49.24399948120117,49.24399948120117
35.3,right,1,1395,0.0,60.01499938964844,60.01499938964844
35.3,right,2,1395,0.0,69.06999969482422,69.06999969482422
35.3,right,3,1395,0.0,72.13400268554688,72.13400268554688
35.3,right,4,1395,0.0,70.11699676513672,70.11699676513672
35.3,right,5,1395,0.0,69.03199768066406,69.03199768066406
35.3,right,6,1395,0.0,70.16799926757812,70.16799926757812
35.3,right,7,1395,0.0,66.17500305175781,66.17500305175781
40.4,right,0,1598,0.0,50.104000091552734,50.104000091552734
40.4,right,1,1598,0.0,61.03099822998047,61.03099822998047
40.4,right,2,1598,0.0,71.0979995727539,71.0979995727539
40.4,right,3,1598,0.0,74.16400146484375,74.16400146484375
40.4,right,4,1597,0.0,72.08899688720703,72.08899688720703
40.4,right,5,1597,0.0,71.0199966430664,71.0199966430664
40.4,right,6,1597,0.0,72.10099792480469,72.10099792480469
40.4,right,7,1597,0.0,68.18800354003906,68.18800354003906
45.4,right,0,1799,0.0,50.220001220703125,50.220001220703125
45.4,right,1,1799,0.0,62.027000427246094,62.027000427246094
45.4,right,2,1799,0.0,72.1510009765625,72.1510009765625
45.4,right,3,1799,0.0,76.15499877929688,76.15499877929688
45.4,right,4,1799,0.0,73.1050033569336,73.1050033569336
45.4,right,5,1799,0.0,72.14900207519531,72.14900207519531
45.4,right,6,1798,0.0,74.01499938964844,74.01499938964844
45.4,right,7,1798,0.0,70.0260009765625,70.0260009765625
50.5,right,0,2000,0.0,51.02199935913086,51.02199935913086
50.5,right,1,2000,0.0,62.18199920654297,62.18199920654297
50.5,right,2,2000,0.0,74.0250015258789,74.0250015258789
50.5,right,3,2000,0.0,78.10800170898438,78.10800170898438
50.5,right,4,2000,0.0,75.0199966430664,75.0199966430664
50.5,right,5,2000,0.0,73.23899841308594,73.23899841308594
