id,device_address,register_address,data,
305,36,8037,7e,
306,36,8038,0a,
307,36,8062,4d,
308,36,8063,50,
309,36,8066,88,
310,36,8067,16,
311,36,8068,88,
312,36,8069,16,
313,36,806a,88,
314,36,806b,35,
315,36,806c,88,
316,36,806f,5f,
317,36,8071,7d,
318,36,8073,29,
319,36,8075,29,
320,36,8077,20,
321,36,8078,34,
322,36,8079,88,
323,36,807c,32,
324,36,807d,88,
325,36,807e,32,
326,36,807f,00,
327,36,8081,31,
328,36,8082,00,
329,36,8083,31,
330,36,8084,31,
331,36,8087,31,
332,36,8088,34,
333,36,8089,39,
334,36,808a,4b,
335,36,808c,88,
336,36,808e,88,
337,36,8090,88,
338,36,8092,88,
339,36,8094,88,
340,36,8098,46,
341,36,8099,49,
342,36,809a,7a,
343,36,809b,7b,
344,36,809d,4b,
345,36,809e,51,
346,36,809f,7c,
347,36,80a0,4b,
348,36,80a1,7c,
349,36,80a7,88,
350,36,80a9,88,
351,36,80ac,05,
352,36,80ad,88,
353,36,80b8,4a,
354,36,80b9,88,
355,36,80bc,4a,
356,36,80bd,88,
357,36,80c6,88,
358,36,80c8,88,
359,36,80ca,88,
360,36,80ce,46,
361,36,80cf,49,
362,36,80d0,7a,
363,36,80d1,7b,
364,36,80d2,46,
365,36,80d3,49,
366,36,80d4,7a,
367,36,80d5,7b,
368,36,80d6,32,
369,36,80d7,7c,
370,36,80d8,88,
371,36,80d9,20,
372,36,80da,3a,
373,36,80db,3f,
374,36,80dc,6e,
375,36,80dd,73,
376,36,80e0,4f,
377,36,80e1,50,
378,36,80e2,84,
379,36,80e3,86,
380,36,80e6,4f,
381,36,80e7,50,
382,36,80e8,84,
383,36,80e9,86,
384,36,80ec,51,
385,36,80ed,52,
386,36,80ee,88,
387,36,80ef,89,
388,36,80f2,37,
389,36,80f3,38,
390,36,8100,7e,
391,36,8101,88,
392,36,8104,88,
393,36,8105,4d,
394,36,8108,4a,
395,36,8109,88,
396,36,810d,88,
397,36,810f,88,
398,36,8122,89,
399,36,8123,8a,
400,36,808b,7a,
401,36,80c0,01,
402,36,80c1,20,
403,36,8089,46,
404,36,801d,1d,
405,36,8032,44,
406,36,6000,40,
407,36,6001,40,
408,36,6002,00,
409,36,6003,00,
410,36,6004,00,
411,36,6005,00,
412,36,6006,00,
413,36,6007,00,
414,36,6008,00,
415,36,6009,00,
416,36,301b,b4,
417,36,3712,c2,
418,36,3a04,01,
419,36,386c,46,
420,36,3900,10,
421,36,3900,13,
422,36,3255,00,
423,36,3631,80,
424,36,363d,11,
425,36,363e,21,
426,36,395e,c0,
427,36,5000,3e,
428,36,5103,02,
429,36,5140,04,
430,36,5141,00,
431,36,5146,04,
432,36,5147,00,
433,36,5180,01,
434,36,5181,1c,
435,36,5185,01,
436,36,5188,08,
437,36,5240,7f,
438,36,5241,00,
439,36,5243,06,
440,36,5244,08,
441,36,5245,08,
442,36,5246,06,
443,36,5247,04,
444,36,5248,08,
445,36,5249,06,
446,36,524a,04,
447,36,524b,08,
448,36,524c,06,
449,36,524d,04,
450,36,524e,08,
451,36,524f,06,
452,36,5250,04,
453,36,5251,08,
454,36,5252,06,
455,36,5253,04,
456,36,5254,08,
457,36,5255,06,
458,36,5256,04,
459,36,5257,44,
460,36,5258,44,
461,36,5259,44,
462,36,525a,00,
463,36,525b,12,
464,36,525c,06,
465,36,525d,06,
466,36,525e,06,
467,36,525f,06,
468,36,5260,06,
469,36,5261,06,
470,36,5262,04,
471,36,5263,06,
472,36,5264,06,
473,36,5265,14,
474,36,5269,08,
475,36,526a,08,
476,36,4008,04,
477,36,4009,1b,
478,36,4050,02,
479,36,4051,0d,
480,36,4d06,c8,
481,36,396e,80,
482,36,3727,46,
483,36,3728,46,
484,36,3729,46,
485,36,3631,e0,
486,36,3642,b8,
487,36,372e,15,
488,36,3730,15,
489,36,3732,15,
490,36,372d,15,
491,36,372f,15,
492,36,3731,15,
493,36,371e,08,
494,36,3401,00,
495,36,3622,4e,
496,36,3cfe,01,
497,36,3642,a8,
498,36,4000,f9,
499,36,0326,17,
500,36,0324,00,
501,36,0325,c0,
502,36,367b,50,
503,36,3608,68,
504,36,3604,30,
505,36,3603,67,
506,36,3b9d,61,
507,36,3652,10,
508,36,3654,10,
509,36,3651,ac,
510,36,3af0,04,
511,36,3655,68,
512,36,3739,06,
513,36,4e18,22,
514,36,4e19,0e,
515,36,4e1a,0e,
516,36,4e1b,f3,
517,36,4e1c,f3,
518,36,0441,04,
519,36,3726,22,
520,36,3727,22,
521,36,3728,22,
522,36,3729,22,
523,36,372a,22,
524,36,3972,22,
525,36,3971,00,
526,36,3970,00,
527,36,396f,22,
528,36,396e,00,
529,36,396d,00,
530,36,400a,07,
531,36,381d,01,
532,36,3748,18,
533,36,3979,00,
534,36,397a,00,
535,36,397b,00,
536,36,397c,00,
537,36,397d,00,
538,36,397e,00,
539,36,397f,00,
540,36,3980,00,
541,36,3981,00,
542,36,3982,00,
543,36,3983,00,
544,36,3984,00,
545,36,3985,00,
546,36,3986,00,
547,36,3987,00,
548,36,3988,00,
549,36,37e5,47,
550,36,372b,1f,
551,36,372c,0a,
552,36,372d,0a,
553,36,372e,0a,
554,36,372f,0a,
555,36,3730,0a,
556,36,3731,0a,
557,36,3732,0a,
558,36,3733,05,
559,36,3734,05,
560,36,3735,05,
561,36,3736,05,
562,36,3737,05,
563,36,3738,05,
564,36,3739,05,
565,36,373a,1f,
566,36,373b,1f,
567,36,3638,ac,
568,36,3642,a8,
569,36,3643,a8,
570,36,371e,08,
571,36,371f,18,
572,36,3720,18,
573,36,3721,18,
574,36,3722,18,
575,36,3638,bb,
576,36,3636,98,
577,36,3963,07,
578,36,396a,06,
579,36,396b,44,
580,36,396e,00,
581,36,396f,02,
582,36,3970,00,
583,36,3971,00,
584,36,3972,11,
585,36,400a,03,
586,36,400b,00,
587,36,3735,03,
588,36,3736,03,
589,36,3737,00,
590,36,3738,00,
591,36,8100,4b,
592,36,8101,51,
593,36,4501,04,
594,36,37e5,67,
595,36,3603,77,
596,36,2805,ee,
597,36,3640,50,
598,36,3726,11,
599,36,3727,11,
600,36,3728,11,
601,36,3729,11,
602,36,372a,11,
603,36,37e1,08,
604,36,37e2,08,
605,36,37e3,08,
606,36,37e4,08,
607,36,4e03,06,
608,36,4e04,b8,
609,36,4e05,08,
610,36,4e06,37,
611,36,4e07,04,
612,36,4e08,51,
613,36,4e09,05,
614,36,4e0a,48,
615,36,4e0b,02,
616,36,4e0c,e1,
617,36,4e0d,03,
618,36,4e0e,86,
619,36,3b8a,04,
620,36,3b8b,ff,
621,36,3b8c,07,
622,36,3b8d,7f,
623,36,3ba8,30,
624,36,40b0,0f,
625,36,4d5a,14,
626,36,4d12,80,
627,36,4d17,00,
628,36,4d18,ff,
629,36,3219,08,
630,36,4837,0c,
631,36,0301,1a,
632,36,0303,06,
633,36,0304,01,
634,36,0305,4c,
635,36,0307,00,
636,36,0407,e0,
637,36,0408,80,
638,36,0409,de,
639,36,040a,34,
640,36,040b,59,
641,36,040c,cd,
642,36,040d,08,
643,36,0323,06,
644,36,3010,21,
645,36,5000,34,
646,36,4001,2a,
647,36,380c,01,
648,36,380d,B0,
649,36,380e,0A,
650,36,380f,D0,
651,36,386d,09,
652,36,386e,04,
653,36,3501,0A,
654,36,3502,B2,
655,36,3823,20,
656,36,382e,03,
657,36,3861,00,
658,36,3826,00,
659,36,5000,3e,
660,36,5100,00,
661,36,3827,00,
662,36,3881,00,
663,36,3882,0a,
664,36,3883,d0,
665,36,3880,05,
666,36,4800,14
