t_s,side,imu_temp_c,power_w
10,right,42.52,20.9
20,right,42.61,19.7
30,right,42.61,20.6
40,right,42.37,20.0
50,right,42.52,20.1
60,right,42.47,20.4
70,right,42.28,20.3
80,right,42.52,20.5
91,right,42.13,20.3
101,right,42.09,20.4
111,right,42.37,20.7
121,right,41.99,20.8
131,right,42.18,21.1
141,right,41.99,19.9
151,right,41.94,20.3
161,right,41.94,19.8
171,right,41.75,20.2
181,right,41.8,20.8
191,right,41.56,20.4
201,right,41.61,21.1
211,right,41.8,20.1
221,right,41.32,20.4
232,right,41.56,19.8
242,right,41.22,20.4
252,right,41.32,19.8
262,right,41.32,20.6
272,right,41.13,20.3
282,right,41.42,20.8
292,right,41.13,20.4
302,right,41.22,20.1
312,right,41.03,20.1
322,right,40.89,19.8
332,right,41.03,20.5
342,right,41.08,20.7
352,right,41.08,20.3
363,right,41.03,20.3
373,right,41.03,20.2
383,right,40.94,20.9
393,right,40.89,20.5
403,right,40.74,20.5
413,right,40.79,21.0
423,right,41.03,20.6
433,right,40.89,20.7
443,right,40.6,20.2
453,right,40.41,20.9
463,right,40.26,20.0
473,right,40.36,20.6
484,right,40.7,20.1
494,right,40.5,20.1
504,right,40.6,20.7
514,right,40.55,20.6
524,right,40.36,20.8
534,right,40.41,20.2
544,right,40.22,20.3
554,right,40.41,20.8
564,right,40.36,20.5
574,right,40.41,21.1
584,right,40.26,19.8
594,right,40.07,20.0
604,right,40.17,19.7
614,right,40.07,20.2
624,right,40.03,20.7
635,right,40.07,20.6
645,right,40.17,20.4
655,right,39.98,20.0
665,right,39.98,20.4
675,right,39.74,20.3
685,right,39.88,20.6
695,right,39.88,20.1
705,right,39.88,20.4
715,right,40.03,20.4
725,right,39.74,20.5
735,right,39.98,20.2
745,right,39.88,19.9
755,right,39.69,20.7
765,right,39.74,20.1
776,right,39.64,20.3
786,right,39.69,20.1
796,right,39.74,
808,right,39.5,20.4
818,right,39.74,20.2
828,right,39.69,20.2
838,right,39.5,20.4
848,right,39.55,19.9
858,right,39.74,20.7
868,right,39.45,20.3
878,right,39.45,19.7
888,right,39.64,20.4
898,right,39.64,20.3
908,right,39.5,20.4
919,right,39.35,20.9
929,right,39.35,20.2
939,right,39.55,20.4
949,right,39.55,20.3
959,right,39.55,20.7
969,right,39.35,19.8
979,right,39.35,20.6
989,right,39.31,20.1
999,right,39.5,20.9
1009,right,39.5,20.3
1019,right,39.31,20.4
1029,right,39.55,20.7
1039,right,39.31,20.4
1050,right,39.21,20.3
1060,right,39.35,20.0
1070,right,39.21,20.7
1080,right,38.92,20.2
1090,right,39.35,20.6
1100,right,39.11,20.4
1110,right,39.02,20.0
1120,right,39.11,20.8
1130,right,39.16,19.6
1139,right,38.97,20.6
