cycle,off_min,poweron_to_scan_s
1,,8.023
2,5.000883333333333,7.832
3,15.001083333333334,7.868
4,25.000933333333332,7.86
5,35.00073333333333,7.933
6,45.00053333333334,7.932
7,55.000766666666664,7.976
8,10.000466666666666,7.977
9,30.000666666666667,7.9
10,40.000616666666666,7.948
