side,cam,wait_min,T_start,T_end_prev
left,0,5.000883333333333,40.53125,66.9921875
left,0,15.001083333333334,35.98046875,68.20703125
left,0,25.000933333333332,34.3125,67.22265625
left,0,35.00073333333333,33.328125,66.69140625
left,0,45.00053333333334,33.25390625,66.3125
left,0,55.000766666666664,32.796875,66.0859375
left,0,10.000466666666666,36.96875,65.93359375
left,0,30.000666666666667,33.328125,67.0703125
left,0,40.000616666666666,32.796875,66.234375
left,1,5.000883333333333,40.8359375,79.58203125
left,1,15.001083333333334,36.58984375,80.79296875
left,1,25.000933333333332,34.84375,79.734375
left,1,35.00073333333333,33.859375,79.203125
left,1,45.00053333333334,32.87109375,78.8984375
left,1,55.000766666666664,33.17578125,78.51953125
left,1,10.000466666666666,37.6484375,78.3671875
left,1,30.000666666666667,33.78125,79.58203125
left,1,40.000616666666666,33.1015625,78.82421875
left,2,5.000883333333333,41.9375,92.6171875
left,2,15.001083333333334,37.19140625,94.125
left,2,25.000933333333332,34.40625,93.0703125
left,2,35.00073333333333,33.3515625,92.390625
left,2,45.00053333333334,33.05078125,92.16796875
left,2,55.000766666666664,32.6015625,91.640625
left,2,10.000466666666666,37.5703125,91.48828125
left,2,30.000666666666667,33.95703125,92.76953125
left,2,40.000616666666666,33.50390625,92.08984375
left,3,5.000883333333333,42.50390625,96.64453125
left,3,15.001083333333334,36.62109375,98.23046875
left,3,25.000933333333332,34.5078125,97.0234375
left,3,35.00073333333333,33.30078125,96.1953125
left,3,45.00053333333334,33.078125,95.890625
left,3,55.000766666666664,32.3984375,95.44140625
left,3,10.000466666666666,37.90234375,95.2890625
left,3,30.000666666666667,34.1328125,96.72265625
left,3,40.000616666666666,33.453125,95.890625
right,0,5.000883333333333,34.74609375,72.875
right,0,15.001083333333334,32.09765625,73.70703125
right,0,25.000933333333332,30.88671875,73.17578125
right,0,35.00073333333333,30.20703125,72.94921875
right,0,45.00053333333334,30.43359375,72.6484375
right,1,5.000883333333333,34.6640625,81.15625
right,1,15.001083333333334,32.1640625,81.98828125
right,1,25.000933333333332,31.10546875,81.53515625
right,1,35.00073333333333,30.5,81.08203125
right,1,45.00053333333334,30.57421875,81.00390625
right,2,5.000883333333333,35.91015625,87.42578125
right,2,15.001083333333334,32.8046875,88.2578125
right,2,25.000933333333332,31.3671875,87.7265625
right,2,35.00073333333333,30.91015625,87.2734375
right,2,45.00053333333334,30.609375,87.046875
right,3,5.000883333333333,37.671875,93.52734375
right,3,15.001083333333334,32.5390625,94.58203125
right,3,25.000933333333332,31.484375,93.98046875
right,3,35.00073333333333,30.87890625,93.375
right,3,45.00053333333334,30.19921875,93.22265625
