side,cam,n,mean_slope_per_C,mean_intercept,r2_mean,mean_pct_per_C,std_slope_per_C,std_intercept,r2_std
left,0,19171,0.415085084953066,726.5352057782892,0.4372865139037817,0.055156810854906514,0.07568913423573967,130.93677638998486,0.33899757735836145
left,1,19171,0.10276500060386325,279.9904854689998,0.5250172289671304,0.035728918604926704,0.021897614510482187,34.83423576754634,0.44928195635148094
left,2,19171,0.01999981950217048,146.62236413709297,0.8219556189333395,0.013481669005225773,0.031159302417470454,3.50577156887674,0.8008919017501864
left,3,19171,0.004683718442808764,130.06190771052832,0.911718576717479,0.0035895757511538147,0.029593444346522363,-0.4654294641962119,0.7762267092969818
right,0,11503,0.10505197875317676,991.6259484288402,0.6099942504577391,0.01051577591161706,-0.15180980009139258,80.07317259555248,0.6089180527496407
right,1,11503,0.27851999064341704,387.8331114029468,0.7662100395476044,0.0680278697916938,0.05562920445315439,53.98871261190265,0.7208721489896173
right,2,11503,0.03550305017249674,158.05169823248278,0.8271377861786718,0.02205310390251257,0.01753009327389707,8.042603176506965,0.8367693018615893
right,3,11503,0.0046027568496293395,130.66826475551176,0.8755681266266421,0.0035115889597003894,0.023029660693690064,0.15362336738671253,0.7584641276382341
