side,cam,tau_cool_s,tau_cool_min,T_floor,rmse,n_points
left,0,207.19280977771356,3.453213496295226,33.70474188968661,1.0008631004900717,9
left,1,167.55177340449214,2.7925295567415356,34.196164074467944,1.3013206266075152,9
left,2,155.55001272326786,2.5925002120544645,34.19295987851947,1.4256338359533196,9
left,3,157.21042201660316,2.620173700276719,34.12659584167858,1.3860423556557488,9
right,0,125.78950260308825,2.096491710051471,30.89462661355063,0.6408679717872278,5
right,1,114.32543350379886,1.905423891729981,31.07218856835955,0.5878968899352942,5
right,2,119.28559112236583,1.988093185372764,31.408992041299484,0.7423881311841316,5
right,3,132.64803247611647,2.210800541268608,31.24391696215311,0.7459991268251728,5
