scan,side,cam,frozen_temp,temp_glitches,stale_start_frames,T_start,T_end,tau_T_s,T_inf,rmse_T,tau2_fast_s,tau2_slow_s,rmse_T2,mean_light,mean_dark,tau_mean_s,mean0,mean_inf,tau_std_s,flicker_rms,flicker_pct
1,left,0,False,0,8,36.4375,66.9921875,235.84626984410468,66.10730619243458,1.2676358680794881,13.919172949902341,497.5121575446889,0.16408114656249173,754.904969964653,754.7140707160494,102.96202369568937,748.1615763660692,755.5281715126317,84.29226502827552,0.5598028154536078,0.07415540203422154
1,left,1,False,0,12,37.5,79.58203125,148.12700064347902,77.7547102747622,1.8904464405680614,19.448671813922548,497.5121575446889,0.22574818111696154,287.85970594862806,287.8026837037037,114.95802699385013,285.56438650693616,288.10038437987345,112.7335926950096,0.14408090601837584,0.050052474535664526
1,left,2,False,0,16,38.625,92.6171875,111.40719634735908,90.39192870431391,2.1841982721798887,25.37949617194652,383.8219800528376,0.25349507214196004,148.37483175926968,148.36952982716048,130.8843581824784,147.79616091522172,148.4454146602053,509.25318004404244,0.027640326083963985,0.01862871604047306
1,left,3,False,0,4,39.18359375,96.64453125,112.22695437276082,93.95785189598124,2.2982820135732713,27.142071727047888,410.4779560016246,0.3403178914924479,130.48216195309337,130.4840931604938,321.68548248763057,130.38118853622927,130.51769682294062,555.2728584898407,0.01889773436755419,0.0144830021856533
1,right,0,False,0,12,32.703125,72.875,51.34476070327369,71.570574066543,1.2941438352815426,20.774303618535182,279.42298083866564,0.20174846454273815,999.3415662619509,999.304498506173,74.85353455128154,997.0930275031842,999.4914701401295,76.92058176333369,0.08872488704893229,0.008878334499865626
1,right,1,False,0,16,33.52734375,81.15625,59.2891716902955,79.49335865979018,1.565234913987064,23.760001823141536,298.82857156525324,0.2923904506223694,410.6148053334794,410.52864486419753,128.7208381637863,404.3838366263593,411.3633471960659,133.41745154156757,0.1974201627526558,0.04807916329084181
1,right,2,False,0,4,34.8515625,87.42578125,73.49393939148146,85.36228737499562,1.825521963637056,25.37949617194652,316.67660669464817,0.2983886605522393,161.11640799255088,161.10348870370373,149.10812375199208,160.21085795012783,161.24488728129393,229.3367395457184,0.030728704816885135,0.019072362150915043
1,right,3,False,0,8,35.18359375,93.52734375,88.95103871088497,91.43459512884033,2.020184096563884,27.142071727047888,316.67660669464817,0.29251844817761824,131.0888617948461,131.08657885185184,276.04494955376725,130.96790644735339,131.12459681900336,406.21271193601774,0.019208533513844557,0.014653063006913498
2,left,0,False,0,4,40.53125,68.20703125,165.96703133954722,67.21055839895428,1.2054249681990556,13.030974784750306,410.4779560016246,0.15098780654711091,751.2347790769825,751.1686051851851,169.22188823459092,746.0341799201835,752.0742275203293,145.46115145969677,0.5528715847140813,0.07359504646382006
2,left,1,False,0,8,40.8359375,80.79296875,89.54796912828775,79.13089724918883,1.643947916057552,18.185696980492715,362.1896016624053,0.1583955532348545,287.07178953286723,287.05564032098766,134.98298933416132,285.1145255934163,287.3161883186098,146.7940760515879,0.14224172300692242,0.049549181839979084
2,left,2,False,0,12,41.9375,94.125,73.94314553485714,92.08899950883124,1.7893759262519278,25.37949617194652,316.67660669464817,0.2897721472640224,148.31119294451167,148.30495922222224,125.22018923820173,147.75266927701276,148.37610955108394,340.17941042985933,0.027127554035743708,0.018290968804959354
2,left,3,False,0,16,42.50390625,98.23046875,80.19873689602126,95.96403867688855,2.0115286130204395,29.027056039454493,387.34323488967584,0.2935628322023807,130.49456150436146,130.49256750617283,211.12718436692393,130.37108515741764,130.52092343342258,351.42884526824923,0.019451353160370225,0.014905872655635624
2,right,0,False,0,4,34.74609375,73.70703125,41.13754203610114,72.53084577835683,1.0131845531662547,20.774303618535182,228.44524812649783,0.2605196162286311,998.6282815646493,998.6099027160494,83.90470494703048,996.4338084402543,998.7941422192281,82.94660373546203,0.0914719742964158,0.0091597620441009
2,right,1,False,0,8,34.6640625,81.98828125,49.263197450955985,80.5059100745895,1.3041651040488669,23.760001823141536,263.6745767174308,0.27380525113766646,408.9663555363732,408.9123425432099,114.87974706806187,403.2363671516266,409.57522263148275,116.61602242841327,0.1968469911336596,0.048132808107280156
2,right,2,False,0,12,35.91015625,88.2578125,61.83394506883256,86.61941229397777,1.5605691588430162,25.37949617194652,261.27756730823853,0.26471115477201357,160.94792895561352,160.94018223456789,147.9696702371953,160.1304060288551,161.06297993953348,204.1445278694089,0.03069948006211286,0.01907416905661409
2,right,3,False,0,16,37.671875,94.58203125,71.1272631508746,92.74342426261097,1.694124602223161,27.142071727047888,246.55184680581868,0.2987620293427607,131.0832851012312,131.0827018765432,171.3830606640975,130.9607226372885,131.10343364443406,292.2053668022389,0.01937170215349116,0.014778163469530875
3,left,0,False,0,12,35.98046875,67.22265625,220.32468477408597,66.31550216757367,1.265992493516875,13.919172949902341,438.9851574943069,0.1660889857121037,750.443246463548,750.3304921604938,243.2638075581408,741.6562561247769,752.6418029826584,234.80353854140566,0.5536263012429449,0.07377324052843438
3,left,1,False,0,16,36.58984375,79.734375,145.67857673371705,78.09060165715306,1.880267801127426,19.448671813922548,438.9851574943069,0.22371354496080204,286.9160046446188,286.881911308642,230.45777417015802,284.1342161790022,287.5693334496501,242.82604677659555,0.14261539563106967,0.049706322868853764
3,left,2,False,0,4,37.19140625,93.0703125,112.93853220136003,90.770672329372,2.1917412070489517,25.410105439025152,362.1896016624053,0.2540439188922418,148.25991401118392,148.25335865432098,204.49694923719653,147.63069966942604,148.38866619657392,512.9934935691741,0.02755937346588696,0.018588553520817522
