t_s,side,cam,frames,silent_s,temp_c,temp_max_c
5.0,right,0,185,0.0,34.132999420166016,34.132999420166016
5.0,right,1,185,0.0,35.19599914550781,35.19599914550781
5.0,right,2,185,0.0,35.24100112915039,35.24100112915039
5.0,right,3,185,0.0,36.03900146484375,36.03900146484375
5.0,right,4,185,0.0,36.112998962402344,36.112998962402344
5.0,right,5,185,0.0,36.13600158691406,36.13600158691406
5.0,right,6,185,0.0,37.00600051879883,37.00600051879883
5.0,right,7,185,0.0,35.025001525878906,35.025001525878906
10.1,right,0,387,0.0,44.14899826049805,44.14899826049805
10.1,right,1,387,0.0,44.196998596191406,44.196998596191406
10.1,right,2,386,0.0,44.21500015258789,44.21500015258789
10.1,right,3,386,0.0,44.13999938964844,44.13999938964844
10.1,right,4,386,0.0,45.02000045776367,45.02000045776367
10.1,right,5,386,0.0,45.042999267578125,45.042999267578125
10.1,right,6,386,0.0,45.202999114990234,45.202999114990234
10.1,right,7,386,0.0,45.04999923706055,45.04999923706055
15.2,right,0,590,0.0,51.06100082397461,51.06100082397461
15.2,right,1,590,0.0,53.06399917602539,53.06399917602539
15.2,right,2,590,0.0,53.01499938964844,53.01499938964844
15.2,right,3,590,0.0,51.244998931884766,51.244998931884766
15.2,right,4,590,0.0,51.13199996948242,51.13199996948242
15.2,right,5,590,0.0,52.03900146484375,52.03900146484375
15.2,right,6,590,0.0,52.249000549316406,52.249000549316406
15.2,right,7,590,0.0,52.027000427246094,52.027000427246094
20.2,right,0,794,0.0,57.01599884033203,57.01599884033203
20.2,right,1,794,0.0,59.17499923706055,59.17499923706055
20.2,right,2,794,0.0,59.00400161743164,59.00400161743164
20.2,right,3,794,0.0,57.10200119018555,57.10200119018555
20.2,right,4,794,0.0,58.08599853515625,58.08599853515625
20.2,right,5,794,0.0,59.03499984741211,59.03499984741211
20.2,right,6,793,0.0,60.0,60.0
20.2,right,7,793,0.0,57.24399948120117,57.24399948120117
25.3,right,0,995,0.0,62.13100051879883,62.13100051879883
25.3,right,1,995,0.0,64.21199798583984,64.21199798583984
25.3,right,2,995,0.0,64.05599975585938,64.05599975585938
25.3,right,3,995,0.0,61.20100021362305,61.20100021362305
25.3,right,4,995,0.0,63.027000427246094,63.027000427246094
25.3,right,5,995,0.0,64.08200073242188,64.08200073242188
25.3,right,6,995,0.0,65.03600311279297,65.03600311279297
25.3,right,7,995,0.0,63.0880012512207,63.0880012512207
30.3,right,0,1198,0.0,66.07499694824219,66.07499694824219
30.3,right,1,1198,0.0,70.03199768066406,70.03199768066406
30.3,right,2,1198,0.0,69.06999969482422,69.06999969482422
30.3,right,3,1198,0.0,66.04399871826172,66.04399871826172
30.3,right,4,1197,0.0,66.2490005493164,66.2490005493164
30.3,right,5,1197,0.0,68.1729965209961,68.1729965209961
30.3,right,6,1197,0.0,69.15299987792969,69.15299987792969
30.3,right,7,1197,0.0,67.09400177001953,67.09400177001953
35.4,right,0,1400,0.0,69.23699951171875,69.23699951171875
35.4,right,1,1400,0.0,73.23300170898438,73.23300170898438
35.4,right,2,1400,0.0,73.01100158691406,73.01100158691406
35.4,right,3,1400,0.0,69.12799835205078,69.12799835205078
35.4,right,4,1400,0.0,71.03500366210938,71.03500366210938
35.4,right,5,1400,0.0,72.11000061035156,72.11000061035156
35.4,right,6,1400,0.0,73.0780029296875,73.0780029296875
35.4,right,7,1400,0.0,70.23999786376953,70.23999786376953
40.4,right,0,1602,0.0,73.04499816894531,73.04499816894531
40.4,right,1,1602,0.0,77.23600006103516,77.23600006103516
40.4,right,2,1601,0.0,76.13099670410156,76.13099670410156
40.4,right,3,1601,0.0,72.07599639892578,72.07599639892578
40.4,right,4,1601,0.0,73.2020034790039,73.2020034790039
40.4,right,5,1601,0.0,76.00900268554688,76.00900268554688
40.4,right,6,1601,0.0,76.21900177001953,76.21900177001953
40.4,right,7,1601,0.0,74.01300048828125,74.01300048828125
45.5,right,0,1804,0.0,75.13400268554688,75.13400268554688
45.5,right,1,1804,0.0,81.08399963378906,81.08399963378906
45.5,right,2,1804,0.0,79.19300079345703,79.19300079345703
45.5,right,3,1804,0.0,74.1449966430664,74.1449966430664
45.5,right,4,1804,0.0,76.1520004272461,76.1520004272461
45.5,right,5,1804,0.0,79.125,79.125
45.5,right,6,1803,0.0,80.06600189208984,80.06600189208984
45.5,right,7,1803,0.0,77.00299835205078,77.00299835205078
50.5,right,0,2005,0.0,78.06300354003906,78.06300354003906
50.5,right,1,2005,0.0,84.18800354003906,84.18800354003906
50.5,right,2,2005,0.0,82.1969985961914,82.1969985961914
50.5,right,3,2005,0.0,76.23300170898438,76.23300170898438
50.5,right,4,2005,0.0,78.18299865722656,78.18299865722656
50.5,right,5,2005,0.0,82.16500091552734,82.16500091552734
50.5,right,6,2005,0.0,83.0719985961914,83.0719985961914
50.5,right,7,2005,0.0,79.13200378417969,79.13200378417969
55.6,right,0,2208,0.0,80.13200378417969,80.13200378417969
55.6,right,1,2208,0.0,87.13700103759766,87.13700103759766
55.6,right,2,2208,0.0,85.1050033569336,85.1050033569336
55.6,right,3,2208,0.0,78.2239990234375,78.2239990234375
55.6,right,4,2207,0.0,81.0739974975586,81.0739974975586
55.6,right,5,2207,0.0,85.2040023803711,85.2040023803711
55.6,right,6,2207,0.0,86.0,86.0
55.6,right,7,2207,0.0,81.2040023803711,81.2040023803711
60.7,right,0,2410,0.0,82.1240005493164,82.1240005493164
60.7,right,1,2410,0.0,90.0469970703125,90.0469970703125
60.7,right,2,2410,0.0,87.2300033569336,87.2300033569336
60.7,right,3,2410,0.0,80.21499633789062,80.21499633789062
60.7,right,4,2410,0.0,83.06600189208984,83.06600189208984
60.7,right,5,2410,0.0,88.08999633789062,88.08999633789062
60.7,right,6,2410,0.0,89.00599670410156,89.00599670410156
60.7,right,7,2410,0.0,83.25499725341797,83.25499725341797
65.7,right,0,2613,0.0,84.11499786376953,84.11499786376953
65.7,right,1,2613,0.0,92.19400024414062,92.19400024414062
65.7,right,2,2613,0.0,90.0989990234375,90.0989990234375
65.7,right,3,2613,0.0,82.08999633789062,82.08999633789062
65.7,right,4,2612,0.0,85.0199966430664,85.0199966430664
65.7,right,5,2612,0.0,90.09700012207031,90.09700012207031
65.7,right,6,2612,0.0,91.01599884033203,91.01599884033203
65.7,right,7,2612,0.0,85.22899627685547,85.22899627685547
70.8,right,0,2815,0.0,86.01000213623047,86.01000213623047
70.8,right,1,2815,0.0,95.0260009765625,95.0260009765625
70.8,right,2,2815,0.0,92.10800170898438,92.10800170898438
70.8,right,3,2815,0.0,84.00399780273438,84.00399780273438
70.8,right,4,2815,0.0,87.03099822998047,87.03099822998047
70.8,right,5,2815,0.0,92.18099975585938,92.18099975585938
70.8,right,6,2815,0.0,92.24400329589844,92.24400329589844
70.8,right,7,2815,0.0,87.16400146484375,87.16400146484375
75.8,right,0,3018,0.0,87.18000030517578,87.18000030517578
75.8,right,1,3018,0.0,97.07599639892578,97.07599639892578
75.8,right,2,3018,0.0,94.0979995727539,94.0979995727539
75.8,right,3,3018,0.0,85.13500213623047,85.13500213623047
75.8,right,4,3017,0.0,88.22100067138672,88.22100067138672
75.8,right,5,3017,0.0,94.20700073242188,94.20700073242188
75.8,right,6,3017,0.0,95.07599639892578,95.07599639892578
75.8,right,7,3017,0.0,89.13800048828125,89.13800048828125
80.9,right,0,3220,0.0,89.11299896240234,89.11299896240234
80.9,right,1,3220,0.0,99.16500091552734,99.16500091552734
80.9,right,2,3220,0.0,96.12699890136719,96.12699890136719
80.9,right,3,3220,0.0,86.20899963378906,86.20899963378906
