t_s,side,cam,frames,silent_s,temp_c,temp_max_c
5.0,right,0,184,0.0,31.02899932861328,31.02899932861328
5.0,right,1,184,0.0,32.20800018310547,32.20800018310547
5.0,right,2,184,0.0,33.03900146484375,33.03900146484375
5.0,right,3,184,0.0,33.11000061035156,33.11000061035156
5.0,right,4,184,0.0,33.14400100708008,33.14400100708008
5.0,right,5,184,0.0,33.15399932861328,33.15399932861328
5.0,right,6,183,0.0,32.16400146484375,32.16400146484375
5.0,right,7,183,0.0,32.09299850463867,32.09299850463867
10.0,right,0,385,0.0,37.13999938964844,37.13999938964844
10.0,right,1,385,0.0,39.19900131225586,39.19900131225586
10.0,right,2,385,0.0,41.055999755859375,41.055999755859375
10.0,right,3,385,0.0,41.132999420166016,41.132999420166016
10.0,right,4,385,0.0,41.05500030517578,41.05500030517578
10.0,right,5,385,0.0,41.0099983215332,41.0099983215332
10.0,right,6,385,0.0,42.02299880981445,42.02299880981445
10.0,right,7,385,0.0,41.04399871826172,41.04399871826172
15.1,right,0,588,0.0,40.145999908447266,40.145999908447266
15.1,right,1,588,0.0,45.0,45.0
15.1,right,2,588,0.0,47.20000076293945,47.20000076293945
15.1,right,3,588,0.0,47.145999908447266,47.145999908447266
15.1,right,4,587,0.0,46.17100143432617,46.17100143432617
15.1,right,5,587,0.0,46.152000427246094,46.152000427246094
15.1,right,6,587,0.0,47.194000244140625,47.194000244140625
15.1,right,7,587,0.0,46.08599853515625,46.08599853515625
20.2,right,0,792,0.0,42.0989990234375,42.0989990234375
20.2,right,1,792,0.0,48.00699996948242,48.00699996948242
20.2,right,2,791,0.0,52.02000045776367,52.02000045776367
20.2,right,3,791,0.0,53.04199981689453,53.04199981689453
20.2,right,4,791,0.0,51.189998626708984,51.189998626708984
20.2,right,5,791,0.0,51.14099884033203,51.14099884033203
20.2,right,6,791,0.0,52.05500030517578,52.05500030517578
20.2,right,7,791,0.0,50.073001861572266,50.073001861572266
25.2,right,0,993,0.0,43.21099853515625,43.21099853515625
25.2,right,1,993,0.0,50.13399887084961,50.13399887084961
25.2,right,2,993,0.0,55.21799850463867,55.21799850463867
25.2,right,3,993,0.0,57.08300018310547,57.08300018310547
25.2,right,4,992,0.0,55.117000579833984,55.117000579833984
25.2,right,5,992,0.0,55.058998107910156,55.058998107910156
25.2,right,6,992,0.0,56.018001556396484,56.018001556396484
25.2,right,7,992,0.0,53.15999984741211,53.15999984741211
30.3,right,0,1195,0.0,44.167999267578125,44.167999267578125
30.3,right,1,1195,0.0,52.10599899291992,52.10599899291992
30.3,right,2,1195,0.0,58.24100112915039,58.24100112915039
30.3,right,3,1195,0.0,60.18600082397461,60.18600082397461
30.3,right,4,1195,0.0,58.10499954223633,58.244998931884766
30.3,right,5,1195,0.0,58.04100036621094,58.04100036621094
30.3,right,6,1195,0.0,59.159000396728516,59.159000396728516
