t_s,side,imu_temp_c,power_w
10,right,49.32,21.1
20,right,47.45,21.1
30,right,45.54,20.8
40,right,44.05,20.7
50,right,42.66,21.3
60,right,41.46,20.7
70,right,40.26,21.1
80,right,39.31,21.1
90,right,38.4,21.0
101,right,37.92,21.0
111,right,37.01,21.0
121,right,36.67,20.9
131,right,36.14,21.2
141,right,35.76,20.9
151,right,34.95,20.6
161,right,34.56,21.5
171,right,34.27,20.6
181,right,34.08,21.1
191,right,33.51,21.1
201,right,33.17,20.7
211,right,32.98,20.9
221,right,32.98,21.2
231,right,32.79,20.6
240,right,32.45,20.5
